onset	duration	subject	gender	effort	task	target	jitter	rt	acc
5.70192634075	0	29	male	LowEff	face	absent	2.42898616635	0.972506510159	1
10.0187238297	0	29	male	LowEff	face	absent	2.34738701357	0.699101002559	1
17.9681946912	0	29	male	LowEff	face	present	6.27285409713	0.71454701724	1
23.5514654741	0	29	male	LowEff	face	present	3.89153537278	0.678736984486	1
27.3683023506	0	29	male	LowEff	face	absent	2.14823372397	0.405103797475	1
32.2009871231	0	29	male	LowEff	face	present	3.42951960989	0.293432329581	1
36.2675053766	0	29	male	LowEff	face	present	2.7816441786	0.451546875061	1
44.5006237968	0	29	male	LowEff	face	absent	6.79358305871	0.989495685299	1
48.7677849323	0	29	male	LowEff	face	absent	2.28610881397	0.388701273081	1
55.3669410775	0	29	male	LowEff	face	absent	5.21087196267	0.278451920894	0
60.1666827846	0	29	male	LowEff	face	absent	3.540109195	0.2608693703	1
63.983393813	0	29	male	LowEff	face	present	2.56893546415	0.187237976541	1
66.3165662871	0	29	male	LowEff	face	absent	1.14806381428	0.76167441396	1
72.2498984889	0	29	male	LowEff	face	present	4.1925900355	0.26232959269	1
75.199675805	0	29	male	LowEff	face	present	1.70713434288	0.661686006075	1
79.1160559778	0	29	male	LowEff	face	present	2.26274255656	0.0677383076545	1
83.7665520691	0	29	male	LowEff	face	present	3.59218334762	0.239332691177	1
87.633086782	0	29	male	LowEff	face	absent	2.63727827436	0.245600119379	1
99.9653475778	0	29	male	LowEff	house	absent	3.01839974915	0.404289787541	1
104.231898366	0	29	male	LowEff	house	present	2.86329387868	0.241118261361	1
106.948428532	0	29	male	LowEff	house	absent	1.48321453669	0.282298774309	1
109.331803836	0	29	male	LowEff	house	present	1.11767581884	0.329330103767	1
113.114905732	0	29	male	LowEff	house	present	2.47133790157	0.252418973669	1
115.648134438	0	29	male	LowEff	house	absent	1.28154516649	0.257269409751	1
120.081801914	0	29	male	LowEff	house	present	3.18361941848	0.241868866906	1
125.214962348	0	29	male	LowEff	house	absent	3.89153537278	0.264726791109	1
130.597670305	0	29	male	LowEff	house	present	4.1360071171	0.130621696084	1
133.731327406	0	29	male	LowEff	house	absent	2.01198493215	0.926263892929	1
137.347699765	0	29	male	LowEff	house	present	1.69518896864	0.287755074594	1
141.46399463	0	29	male	LowEff	house	absent	2.83901807068	0.339518357174	1
146.380413871	0	29	male	LowEff	house	absent	3.58177767345	0.331198291795	1
151.596898244	0	29	male	LowEff	house	present	3.90849644974	0.264991296306	1
156.19675504	0	29	male	LowEff	house	absent	3.35027113635	0.389612631177	1
162.296542988	0	29	male	LowEff	house	present	4.71427709665	0.292752173362	1
165.180290712	0	29	male	LowEff	house	absent	1.59914145454	0.328549076919	1
171.379566557	0	29	male	LowEff	house	present	4.88279194846	0.240133251697	1
184.179235253	0	29	male	HighEff	house	present	3.49109826086	0.309187680847	1
187.429906764	0	29	male	HighEff	house	present	1.95134205845	0.504153307978	0
191.262255941	0	29	male	HighEff	house	present	2.33904887171	0.244312818064	1
193.612176461	0	29	male	HighEff	house	absent	1.12317533431	0.580584101765	1
196.262181969	0	29	male	HighEff	house	present	1.08672953958	0.604593231998	0
203.16184932	0	29	male	HighEff	house	absent	5.30629403265	0.243236224276	1
206.995053817	0	29	male	HighEff	house	absent	2.59454180228	0.211576937709	1
214.711462938	0	29	male	HighEff	house	absent	6.5151761391	0.323697680167	1
219.877917082	0	29	male	HighEff	house	present	3.85166400415	0.242312377435	1
223.677758059	0	29	male	HighEff	house	absent	2.56893546415	0.52441453408	1
230.377773302	0	29	male	HighEff	house	absent	5.18967122781	0.258874053259	1
233.360775801	0	29	male	HighEff	house	present	1.72944047918	0.352450932045	0
239.143919006	0	29	male	HighEff	house	present	4.43795127426	0.312175052484	0
242.460518276	0	29	male	HighEff	house	present	2.01198493215	0.614316840078	1
245.794485867	0	29	male	HighEff	house	absent	1.72944047918	0.342880070912	1
250.043874879	0	29	male	HighEff	house	absent	2.92024506915	0.481989629861	1
257.026937581	0	29	male	HighEff	house	absent	5.52239527343	0.354921782033	1
259.393278238	0	29	male	HighEff	house	present	1.0126722588	0.284809652327	1
270.976160589	0	29	male	HighEff	face	present	2.23970479125	0.53441705745	1
278.359253455	0	29	male	HighEff	face	present	5.84540892865	0.304691412737	1
281.825961986	0	29	male	HighEff	face	absent	2.16432439227	0.420731059057	1
284.442594367	0	29	male	HighEff	face	absent	1.20492750774	0.386673933619	1
288.259450457	0	29	male	HighEff	face	present	2.42898616635	0.297239795414	0
290.67564554	0	29	male	HighEff	face	absent	1.14090220571	0.486087859277	1
296.308678524	0	29	male	HighEff	face	absent	4.14429626345	0.137036747648	1
299.275234628	0	29	male	HighEff	face	present	1.83922122302	0.306919532777	0
303.042420421	0	29	male	HighEff	face	absent	2.4594069948	0.0741110896197	0
305.758314301	0	29	male	HighEff	face	present	1.65353752652	0.523059025007	0
310.308683328	0	29	male	HighEff	face	absent	3.02735745532	0.0675256787799	1
314.126858741	0	29	male	HighEff	face	present	2.77547912684	0.301195204833	0
320.441269599	0	29	male	HighEff	face	present	5.02398449411	0.312714630276	0
326.957585663	0	29	male	HighEff	face	absent	5.21087196267	None	0
333.990698127	0	29	male	HighEff	face	present	5.04671430947	0.0378879676391	0
340.04060475	0	29	male	HighEff	face	present	5.02398449411	0.345452111749	0
346.940901982	0	29	male	HighEff	face	absent	5.55873154647	0.209379238968	1
350.90677825	0	29	male	HighEff	face	absent	2.77244640315	0.353072487233	1
374.272671554	0	29	male	HighEff	face	present	3.94919923025	0.563348353982	1
380.522953671	0	29	male	HighEff	face	absent	4.69630722325	0.399833867683	1
385.022278639	0	29	male	HighEff	face	present	3.1161864143	0.139417614639	1
389.505447334	0	29	male	HighEff	face	absent	3.35695204984	None	0
397.755247834	0	29	male	HighEff	face	absent	6.27285409713	0.182294034992	1
401.05565849	0	29	male	HighEff	face	present	2.13300984064	0.106027516227	1
404.171668996	0	29	male	HighEff	face	present	2.01988549523	0.509057541727	1
407.071691476	0	29	male	HighEff	face	absent	1.39721559773	0.318179256388	1
409.571927161	0	29	male	HighEff	face	absent	1.18584489454	0.347234799916	1
412.504667588	0	29	male	HighEff	face	present	1.59734603557	0.0391871172542	0
416.204575235	0	29	male	HighEff	face	absent	2.67354941622	0.178830810179	1
420.704891937	0	29	male	HighEff	face	absent	3.32561632452	0.242137855243	1
427.754136016	0	29	male	HighEff	face	absent	5.81840152943	0.360492722582	0
433.987344419	0	29	male	HighEff	face	present	4.88279194846	0.37977726485	1
440.03754885	0	29	male	HighEff	face	present	4.67925902656	0.882282378832	1
444.804209796	0	29	male	HighEff	face	absent	2.8940687546	None	0
450.120056859	0	29	male	HighEff	face	present	3.33509027468	0.259381608626	0
454.003410708	0	29	male	HighEff	face	present	2.63727827436	0.54414386777	1
465.520184052	0	29	male	LowEff	house	absent	1.89553544966	0.395331835538	1
469.136123788	0	29	male	LowEff	house	present	2.23970479125	0.244822294779	1
471.569377856	0	29	male	LowEff	house	present	1.20153027224	0.51956890136	1
478.119755208	0	29	male	LowEff	house	present	5.02398449411	0.204698521717	1
481.019207368	0	29	male	LowEff	house	present	1.70713434288	0.337274866371	1
485.402183353	0	29	male	LowEff	house	absent	3.05374656762	0.535719089079	1
488.568732604	0	29	male	LowEff	house	present	1.65353752652	0.229023393018	1
490.88536966	0	29	male	LowEff	house	absent	1.09674116091	0.301678423166	1
496.185167087	0	29	male	LowEff	house	absent	4.02328466147	0.315731142317	1
501.952512671	0	29	male	LowEff	house	absent	4.46968133314	0.267437168808	1
504.384874914	0	29	male	LowEff	house	present	1.17828108985	0.244252615914	1
507.901505438	0	29	male	LowEff	house	present	2.28610881397	0.551908023921	1
512.934582998	0	29	male	LowEff	house	absent	3.48637026911	0.285291269534	1
