onset	duration	subject	gender	effort	task	target	jitter	rt	acc
6.98445892849	0	9	male	LowEff	house	present	3.73916294011	0.755002366448	1
11.7170572002	0	9	male	LowEff	house	absent	2.99095548651	0.416116256387	1
16.9167723937	0	9	male	LowEff	house	absent	3.80460359253	0.582416480993	1
22.3831515213	0	9	male	LowEff	house	absent	3.89917746909	0.728816115679	1
26.4501326044	0	9	male	LowEff	house	present	2.34515570759	0.513299829447	1
31.3994704149	0	9	male	LowEff	house	present	3.44561428906	0.405936041185	1
34.2999011791	0	9	male	LowEff	house	absent	1.50669433555	0.642654624568	1
40.0491619439	0	9	male	LowEff	house	present	4.114234726	0.76633218288	1
46.6490930319	0	9	male	LowEff	house	absent	4.85090262792	0.674239517972	1
49.6488615105	0	9	male	LowEff	house	absent	1.33451179521	0.832651364693	1
54.1653036901	0	9	male	LowEff	house	present	2.69957601202	0.413532695751	1
57.0157453739	0	9	male	LowEff	house	present	1.45862949626	0.663169402545	1
62.2317173377	0	9	male	LowEff	house	present	3.56990614371	0.38070917907	1
65.0822150606	0	9	male	LowEff	house	absent	1.47617214365	None	0
70.5814154633	0	9	male	LowEff	house	present	3.5232705141	0.818985199923	1
77.7477951033	0	9	male	LowEff	house	absent	5.35352788443	0.889941853875	1
84.8975775757	0	9	male	LowEff	house	absent	5.26337456849	0.530383416026	1
88.4307430907	0	9	male	LowEff	house	present	2.02053131245	0.463273603171	1
101.147084912	0	9	male	HighEff	face	absent	3.18287357132	0.706591025679	1
106.613364771	0	9	male	HighEff	face	absent	3.76670655395	0.949455652612	1
109.996538708	0	9	male	HighEff	face	present	1.45862949626	0.730958728996	0
113.56311727	0	9	male	HighEff	face	present	1.84319092177	0.498707899456	1
120.279607355	0	9	male	HighEff	face	absent	5.233175047	0.38853511343	1
123.84608825	0	9	male	HighEff	face	present	2.18882039392	0.615809994932	1
127.079228339	0	9	male	HighEff	face	present	1.64155569528	0.439272875621	1
129.779131183	0	9	male	HighEff	face	absent	1.26135257288	0.42641015082	0
133.162431288	0	9	male	HighEff	face	absent	1.96847827005	0.582401110278	1
136.329405583	0	9	male	HighEff	face	present	1.60278730852	0.909508771234	1
141.39543112	0	9	male	HighEff	face	present	3.17087202658	0.282805424067	1
146.445179712	0	9	male	HighEff	face	absent	3.79250185406	0.448947138197	1
154.011617377	0	9	male	HighEff	face	present	6.12901465429	0.624746463294	1
157.31158132	0	9	male	HighEff	face	absent	1.68866150958	0.512541540953	1
164.927895986	0	9	male	HighEff	face	absent	6.11827256415	0.553207643599	1
167.945038814	0	9	male	HighEff	face	present	1.45862949626	None	0
176.544059508	0	9	male	HighEff	face	present	6.61685756406	0.522857851007	1
179.911370869	0	9	male	HighEff	face	absent	1.84297056257	0.897310829754	0
193.293465334	0	9	male	LowEff	face	present	3.42352996876	0.348197239549	1
196.076709463	0	9	male	LowEff	face	absent	1.45561403926	0.358346072877	1
199.393312523	0	9	male	LowEff	face	absent	1.96847827005	0.369281054122	1
202.226431414	0	9	male	LowEff	face	absent	1.46651912416	0.481710132692	1
205.528612582	0	9	male	LowEff	face	present	1.83344003347	0.436400153449	1
209.692889316	0	9	male	LowEff	face	present	2.73795010904	0.442387686522	1
213.076177253	0	9	male	LowEff	face	absent	1.94853616748	0.312033154627	1
216.059254738	0	9	male	LowEff	face	present	1.68435892233	0.332723094689	1
218.509862554	0	9	male	LowEff	face	absent	1.12626780508	0.295382509794	1
220.9281733	0	9	male	LowEff	face	absent	1.13301444486	0.337146657734	1
225.575562104	0	9	male	LowEff	face	present	3.32051699996	0.358749874315	1
232.875293885	0	9	male	LowEff	face	absent	5.94715149957	0.612381045092	1
237.458446559	0	9	male	LowEff	face	absent	2.97895137919	0.44669757034	1
242.792301643	0	9	male	LowEff	face	present	3.8916632184	0.349867843892	1
245.208239855	0	9	male	LowEff	face	absent	1.08721384496	None	0
248.908079935	0	9	male	LowEff	face	present	1.72065857488	0.66211746939	1
257.241038074	0	9	male	LowEff	face	present	6.6888159581	0.409442805256	1
264.741485426	0	9	male	LowEff	face	present	6.09190839855	0.223977543388	1
275.640553	0	9	male	HighEff	house	present	1.60288523703	0.415765612001	1
278.690720124	0	9	male	HighEff	house	present	1.65099304605	0.782806384737	1
282.957223627	0	9	male	HighEff	house	present	2.49658488174	0.314462687915	1
288.38987877	0	9	male	HighEff	house	absent	4.14096102867	0.169276378867	1
293.356417689	0	9	male	HighEff	house	absent	3.80460359253	None	0
297.072946841	0	9	male	HighEff	house	absent	1.73263317376	0.209557253023	1
300.973306836	0	9	male	HighEff	house	present	2.69957601202	0.147015103648	0
304.3893773	0	9	male	HighEff	house	present	2.28954200781	0.341284901926	1
306.722508359	0	9	male	HighEff	house	absent	1.00355277856	0.554372935763	1
312.522291376	0	9	male	HighEff	house	absent	4.2486676147	None	0
317.139361449	0	9	male	HighEff	house	present	2.62586967865	0.391126359427	1
322.088650586	0	9	male	HighEff	house	present	3.56661243933	0.427027861337	1
326.071943902	0	9	male	HighEff	house	absent	2.57047347119	0.75189460046	1
331.255003327	0	9	male	HighEff	house	absent	3.44561428906	0.499663125211	0
335.888126188	0	9	male	HighEff	house	absent	3.1444215945	0.381047014525	1
338.62201592	0	9	male	HighEff	house	absent	1.35978017585	0.482161647382	1
346.204442008	0	9	male	HighEff	house	present	6.11827256415	None	0
353.787417599	0	9	male	HighEff	house	present	5.60608255762	0.601049947771	1
377.753219684	0	9	male	LowEff	house	present	4.28828263191	0.341437968607	1
383.686956541	0	9	male	LowEff	house	present	4.59318094258	0.291461056695	1
389.269483179	0	9	male	LowEff	house	absent	4.29260506248	0.361853157174	1
395.335923405	0	9	male	LowEff	house	present	4.72201388225	0.300013897686	1
402.08613107	0	9	male	LowEff	house	absent	5.46951161071	0.278691196614	1
405.885479224	0	9	male	LowEff	house	present	2.5304429102	0.815828119568	1
409.618729149	0	9	male	LowEff	house	absent	1.93565051567	0.3075974231	1
413.785219907	0	9	male	LowEff	house	absent	2.85894088801	0.569688890369	1
419.634946853	0	9	male	LowEff	house	absent	4.2904639024	0.303140236621	1
422.201677201	0	9	male	LowEff	house	present	1.26135257288	0.965030667776	1
425.701407893	0	9	male	LowEff	house	absent	1.55763366984	0.438467514319	1
428.502041103	0	9	male	LowEff	house	present	1.35978017585	0.262498791159	1
432.317917896	0	9	male	LowEff	house	absent	2.56331413897	0.289841688063	1
434.717696686	0	9	male	LowEff	house	present	1.11516737188	0.318720375351	1
438.317625532	0	9	male	LowEff	house	absent	2.30386818883	0.238735669212	1
441.401275193	0	9	male	LowEff	house	present	1.84297056257	0.244340535581	1
448.15059712	0	9	male	LowEff	house	present	5.51036286382	0.277228417119	1
450.717111318	0	9	male	LowEff	house	absent	1.30136474652	None	0
464.033334273	0	9	male	HighEff	face	present	3.24909464261	0.83536941907	0
467.749881678	0	9	male	HighEff	face	present	1.87678180091	0.0138691862703	0
474.082971108	0	9	male	HighEff	face	present	5.33055546479	0.564826941787	0
476.899930576	0	9	male	HighEff	face	absent	1.26135257288	None	0
482.999285262	0	9	male	HighEff	face	present	4.114234726	0.913023220663	1
489.748965839	0	9	male	HighEff	face	absent	4.85090262792	0.777222653098	1
492.848887	0	9	male	HighEff	face	absent	1.33648061657	0.483467517519	0
501.181873318	0	9	male	HighEff	face	absent	6.87055353575	0.385159320642	0
506.581742091	0	9	male	HighEff	face	present	4.0375131948	0.260177173084	1
509.131684419	0	9	male	HighEff	face	present	1.29559981045	0.581528181883	0
516.764675348	0	9	male	HighEff	face	absent	6.07054764206	0.383259436498	1
521.381176064	0	9	male	HighEff	face	present	3.24909464261	0.440702351912	0
524.764313816	0	9	male	HighEff	face	absent	1.94853616748	0.438754754516	1
529.380828622	0	9	male	HighEff	face	absent	3.18287357132	0.280561620224	1
536.764409563	0	9	male	HighEff	face	absent	6.12106880336	0.408384147417	1
544.89762657	0	9	male	HighEff	face	present	6.72552240709	0.521045708017	0
548.146812082	0	9	male	HighEff	face	absent	1.73315581058	0.557891548095	1
553.863294802	0	9	male	HighEff	face	present	4.16835266368	0.234151033907	1
564.762818054	0	9	male	LowEff	face	present	1.60278730852	0.320910381699	1
567.92940776	0	9	male	LowEff	face	absent	1.85642039164	0.428658758006	1
571.912542566	0	9	male	LowEff	face	absent	2.56331413897	0.427353528314	1
579.51233916	0	9	male	LowEff	face	present	6.19097467153	0.323109674518	1
584.595408896	0	9	male	LowEff	face	absent	3.76670655395	0.482131226181	1
587.195843375	0	9	male	LowEff	face	present	1.12626780508	0.592387590455	1
589.928597916	0	9	male	LowEff	face	absent	1.14944478269	0.33811020929	1
592.945101898	0	9	male	LowEff	face	absent	1.68323024119	0.743125929046	1
599.828208588	0	9	male	LowEff	face	present	5.14524495833	0.285577916384	1
602.795264027	0	9	male	LowEff	face	present	1.68364413915	0.76252216745	1
606.511799904	0	9	male	LowEff	face	absent	1.95931411308	0.897188184274	1
610.577950648	0	9	male	LowEff	face	absent	2.1816081482	0.748587655653	1
