onset	duration	subject	gender	effort	task	target	jitter	rt	acc
7.51565191885	0	30	male	HighEff	face	absent	4.22676265541	0.417569485449	1
9.94870616611	0	30	male	HighEff	face	absent	1.03950185934	0.278206629155	0
14.7652087285	0	30	male	HighEff	face	absent	3.55483221832	0.223845367575	0
17.8483853655	0	30	male	HighEff	face	present	1.86373995411	0.28730355846	0
20.1317283909	0	30	male	HighEff	face	present	1.00174458321	0.364011986632	1
24.1815046823	0	30	male	HighEff	face	absent	2.70234210149	0.277645916565	1
29.564663835	0	30	male	HighEff	face	present	4.11704129896	0.273965259516	0
33.9646174666	0	30	male	HighEff	face	present	3.13812189051	0.281066871779	1
37.681754137	0	30	male	HighEff	face	absent	2.4446685233	0.305945410739	1
41.231419951	0	30	male	HighEff	face	absent	2.24889350241	0.284546107803	0
45.381274313	0	30	male	HighEff	face	present	2.86532949241	0.28342404218	1
48.7973569975	0	30	male	HighEff	face	absent	2.14783353094	0.317408796942	1
52.8639114362	0	30	male	HighEff	face	present	2.76260099719	0.28321941891	1
55.9473765952	0	30	male	HighEff	face	present	1.81601875917	0.426862391971	0
62.0802334563	0	30	male	HighEff	face	present	4.71073985346	0.380699830792	0
64.7635144223	0	30	male	HighEff	face	absent	1.31155533982	0.426101859477	1
71.2299773409	0	30	male	HighEff	face	absent	5.04388422306	0.228404399622	1
75.5971713955	0	30	male	HighEff	face	present	3.14217320612	0.2643959995	1
87.0127241089	0	30	male	HighEff	house	absent	2.08935155616	0.277122349984	1
91.0465551561	0	30	male	HighEff	house	present	2.76260099719	0.495770478658	1
96.8290985817	0	30	male	HighEff	house	absent	4.30802697274	0.238044749414	1
104.029567262	0	30	male	HighEff	house	absent	5.96548700647	0.236575880968	0
111.845194651	0	30	male	HighEff	house	present	6.58763684155	0.301710125361	1
115.145771503	0	30	male	HighEff	house	absent	2.01113252296	0.288604949641	1
119.978248771	0	30	male	HighEff	house	present	3.55483221832	0.231145198621	0
125.912021921	0	30	male	HighEff	house	absent	4.71073985346	0.261904975385	1
