onset	duration	subject	task	trialHit	rt	acc
0.718098303707	0	30	face	noHit	None	1
2.68355027456	0	30	face	noHit	None	1
4.66671192502	0	30	face	noHit	None	1
6.63377238207	0	30	face	noHit	None	1
8.60083924361	0	30	face	noHit	None	1
10.5668903539	0	30	face	noHit	None	1
12.5330593068	0	30	face	noHit	None	1
14.5001172021	0	30	face	noHit	None	1
16.466197773	0	30	face	Hit	1.49002245412	1
18.433283848	0	30	face	noHit	None	1
20.3994002841	0	30	face	Hit	1.49003526309	1
22.3664741906	0	30	face	noHit	None	1
24.3328608959	0	30	face	noHit	None	1
26.2996795837	0	30	face	noHit	None	1
28.2667829507	0	30	face	noHit	None	1
30.2328814543	0	30	face	noHit	None	1
32.1999226979	0	30	face	noHit	None	1
34.1650576468	0	30	face	noHit	None	1
36.1321610139	0	30	house	noHit	None	1
38.1002714861	0	30	house	noHit	None	1
40.066263355	0	30	house	noHit	None	1
42.0324739369	0	30	house	Hit	1.49006280237	1
43.9985208844	0	30	house	noHit	None	1
45.9656210492	0	30	house	Hit	1.49007144843	1
47.9327433096	0	30	house	noHit	None	1
49.8987639986	0	30	house	noHit	None	1
51.8648839572	0	30	house	noHit	None	1
53.832986744	0	30	house	noHit	None	1
55.7990804442	0	30	house	noHit	None	1
57.7641814493	0	30	house	noHit	None	1
59.7312172491	0	30	house	noHit	None	1
61.6983206162	0	30	house	noHit	None	1
63.6654611293	0	30	house	noHit	None	1
65.6325523278	0	30	house	noHit	None	1
67.5986626797	0	30	house	noHit	None	1
69.5646811271	0	30	house	noHit	None	1
71.5309624787	0	30	face	Hit	None	0
73.4978689079	0	30	face	noHit	None	1
75.4639603665	0	30	face	noHit	None	1
77.4310650145	0	30	face	Hit	1.49007272932	1
79.3981562131	0	30	face	noHit	None	1
81.3642720087	0	30	face	noHit	None	1
83.3303666695	0	30	face	noHit	None	1
85.2974553063	0	30	face	noHit	None	1
87.2635432424	0	30	face	noHit	None	1
89.2306859971	0	30	face	noHit	None	1
91.1967467142	0	30	face	noHit	None	1
93.1638267049	0	30	face	noHit	None	1
95.1299389781	0	30	face	noHit	None	1
97.0970801316	0	30	face	noHit	None	1
99.0640269091	0	30	face	noHit	None	1
101.03020675	0	30	face	noHit	None	1
102.996328629	0	30	face	noHit	None	1
104.963387165	0	30	face	noHit	None	1
106.929491433	0	30	house	noHit	None	1
108.896539721	0	30	house	noHit	None	1
110.86366006	0	30	house	noHit	None	1
112.829762086	0	30	house	noHit	None	1
114.796850723	0	30	house	noHit	None	1
116.76294058	0	30	house	noHit	None	1
118.730049071	0	30	house	noHit	None	1
120.696148535	0	30	house	noHit	None	1
122.662327095	0	30	house	noHit	None	1
124.629339518	0	30	house	noHit	None	1
126.595389988	0	30	house	Hit	1.49004294847	1
128.562465496	0	30	house	noHit	None	1
130.529527874	0	30	house	noHit	None	1
132.49564431	0	30	house	Hit	1.49002885861	1
134.461785724	0	30	house	noHit	None	1
136.428893254	0	30	house	noHit	None	1
138.394949808	0	30	house	noHit	None	1
140.362070467	0	30	house	noHit	None	1
142.328235257	0	30	face	noHit	None	1
144.295240315	0	30	face	noHit	None	1
146.26231134	0	30	face	noHit	None	1
148.228368214	0	30	face	noHit	None	1
150.195510329	0	30	face	Hit	1.49002981928	1
152.161621641	0	30	face	noHit	None	1
154.128700991	0	30	face	Hit	1.49002661704	1
156.094776439	0	30	face	noHit	None	1
158.061884929	0	30	face	noHit	None	1
160.02793604	0	30	face	noHit	None	1
161.994160712	0	30	face	noHit	None	1
163.961129264	0	30	face	noHit	None	1
165.928229429	0	30	face	noHit	None	1
167.894601404	0	30	face	noHit	None	1
169.861425536	0	30	face	noHit	None	1
171.827466399	0	30	face	noHit	None	1
173.794574249	0	30	face	noHit	None	1
175.760685562	0	30	face	noHit	None	1
177.727782844	0	30	house	noHit	None	1
179.69386982	0	30	house	noHit	None	1
181.66100649	0	30	house	noHit	None	1
183.628048054	0	30	house	noHit	None	1
185.594140153	0	30	house	noHit	None	1
187.560283808	0	30	house	noHit	None	1
189.527320249	0	30	house	noHit	None	1
191.493438606	0	30	house	noHit	None	1
193.460568872	0	30	house	noHit	None	1
195.42661742	0	30	house	noHit	None	1
197.393688445	0	30	house	noHit	None	1
199.359804881	0	30	house	noHit	None	1
201.326936108	0	30	house	Hit	1.49003398219	1
203.293044538	0	30	house	noHit	None	1
205.260107557	0	30	house	noHit	None	1
207.226217268	0	30	house	noHit	None	1
209.193303984	0	30	house	Hit	1.49002693726	1
211.159815576	0	30	house	noHit	None	1
213.127252297	0	30	face	noHit	None	1
215.093596092	0	30	face	noHit	None	1
217.060642139	0	30	face	noHit	None	1
219.025691908	0	30	face	noHit	None	1
220.992894225	0	30	face	noHit	None	1
222.958959105	0	30	face	Hit	1.49006120125	1
224.927019622	0	30	face	noHit	None	1
226.892104936	0	30	face	noHit	None	1
228.859186848	0	30	face	noHit	None	1
230.826320637	0	30	face	Hit	1.49004262825	1
232.792374629	0	30	face	noHit	None	1
234.758492346	0	30	face	noHit	None	1
236.725631578	0	30	face	noHit	None	1
238.691691014	0	30	face	noHit	None	1
240.658753073	0	30	face	noHit	None	1
242.624845812	0	30	face	noHit	None	1
244.591869123	0	30	face	noHit	None	1
246.558053767	0	30	face	noHit	None	1
248.525134078	0	30	house	noHit	None	1
250.491195756	0	30	house	noHit	None	1
252.458336589	0	30	house	noHit	None	1
254.424445019	0	30	house	noHit	None	1
256.391473454	0	30	house	noHit	None	1
258.358505091	0	30	house	noHit	None	1
260.32472592	0	30	house	noHit	None	1
262.290826665	0	30	house	Hit	1.49003526309	1
264.257874954	0	30	house	noHit	None	1
266.224969355	0	30	house	Hit	1.49008585852	1
268.194023848	0	30	house	noHit	None	1
270.174193964	0	30	house	noHit	None	1
272.142220217	0	30	house	noHit	None	1
274.109353365	0	30	house	noHit	None	1
276.074446685	0	30	house	noHit	None	1
278.041483765	0	30	house	noHit	None	1
280.007547044	0	30	house	noHit	None	1
281.974714776	0	30	house	noHit	None	1
283.940876044	0	30	face	noHit	None	1
285.907897433	0	30	face	noHit	None	1
287.873970639	0	30	face	noHit	None	1
289.840046727	0	30	face	noHit	None	1
291.807197808	0	30	face	noHit	None	1
293.773261727	0	30	face	noHit	None	1
295.740360291	0	30	face	noHit	None	1
297.70656735	0	30	face	noHit	None	1
299.673588099	0	30	face	noHit	None	1
301.63964017	0	30	face	noHit	None	1
303.606723043	0	30	face	noHit	None	1
305.572791125	0	30	face	noHit	None	1
307.539924914	0	30	face	Hit	1.49002853838	1
309.506001002	0	30	face	noHit	None	1
311.473115577	0	30	face	noHit	None	1
313.439201912	0	30	face	noHit	None	1
315.406295352	0	30	face	Hit	1.4900381451	1
317.372396097	0	30	face	noHit	None	1
319.339431256	0	30	house	noHit	None	1
321.305538086	0	30	house	noHit	None	1
323.27262352	0	30	house	noHit	None	1
325.238748922	0	30	house	Hit	1.49004166757	1
327.205876627	0	30	house	noHit	None	1
329.17197449	0	30	house	noHit	None	1
331.140999522	0	30	house	noHit	None	1
333.105086698	0	30	house	noHit	None	1
335.081189005	0	30	house	Hit	1.49003526309	1
337.055292794	0	30	house	noHit	None	1
339.0213945	0	30	house	noHit	None	1
340.988452395	0	30	house	noHit	None	1
342.955589065	0	30	house	noHit	None	1
344.921653625	0	30	house	noHit	None	1
346.887747645	0	30	house	noHit	None	1
348.854845889	0	30	house	noHit	None	1
350.820916853	0	30	house	noHit	None	1
352.788023743	0	30	house	noHit	None	1
354.755117503	0	30	face	noHit	None	1
356.721229136	0	30	face	noHit	None	1
358.688349155	0	30	face	noHit	None	1
360.654386495	0	30	face	noHit	None	1
362.621508756	0	30	face	noHit	None	1
364.587578439	0	30	face	noHit	None	1
366.553706723	0	30	face	noHit	None	1
368.520776147	0	30	face	noHit	None	1
370.487815789	0	30	face	Hit	1.49002437547	1
372.454001394	0	30	face	noHit	None	1
374.421078502	0	30	face	noHit	None	1
376.387205186	0	30	face	noHit	None	1
378.354222412	0	30	face	noHit	None	1
380.320299461	0	30	face	noHit	None	1
382.287450541	0	30	face	noHit	None	1
384.253517343	0	30	face	noHit	None	1
386.220638322	0	30	face	noHit	None	1
388.186920955	0	30	face	Hit	1.49006216192	1
390.153798564	0	30	house	noHit	None	1
392.119879135	0	30	house	noHit	None	1
394.087006198	0	30	house	noHit	None	1
396.05308805	0	30	house	Hit	1.49005447654	1
398.020149148	0	30	house	noHit	None	1
399.986237084	0	30	house	noHit	None	1
401.953345895	0	30	house	noHit	None	1
403.91947578	0	30	house	Hit	1.4900419878	1
405.886542642	0	30	house	noHit	None	1
407.852621612	0	30	house	noHit	None	1
409.819753799	0	30	house	noHit	None	1
411.786840834	0	30	house	noHit	None	1
413.752923967	0	30	house	noHit	None	1
415.720017407	0	30	house	noHit	None	1
417.686093495	0	30	house	noHit	None	1
419.654229906	0	30	house	noHit	None	1
421.619404562	0	30	house	noHit	None	1
423.58736581	0	30	house	noHit	None	1
425.552556798	0	30	face	noHit	None	1
427.519560255	0	30	face	noHit	None	1
429.485602399	0	30	face	noHit	None	1
431.451766549	0	30	face	noHit	None	1
433.418858708	0	30	face	noHit	None	1
435.385898671	0	30	face	noHit	None	1
437.352021191	0	30	face	noHit	None	1
439.319109187	0	30	face	noHit	None	1
441.285202567	0	30	face	noHit	None	1
443.251318683	0	30	face	noHit	None	1
445.218448629	0	30	face	noHit	None	1
447.185485069	0	30	face	noHit	None	1
449.151574606	0	30	face	noHit	None	1
