onset	duration	subject	task	trialHit	rt	acc
0.730607738204	0	24	face	noHit	None	1
2.69623240997	0	24	face	noHit	None	1
4.66330642579	0	24	face	Hit	1.49002847452	1
6.63041374514	0	24	face	noHit	None	1
8.59654469462	0	24	face	noHit	None	1
10.5637054918	0	24	face	noHit	None	1
12.5297365306	0	24	face	noHit	None	1
14.4958549913	0	24	face	noHit	None	1
16.4630039401	0	24	face	noHit	None	1
18.4300593828	0	24	face	noHit	None	1
20.3961832873	0	24	face	noHit	None	1
22.3632848425	0	24	face	noHit	None	1
24.329376084	0	24	face	noHit	None	1
26.2965320777	0	24	face	noHit	None	1
28.2635801552	0	24	face	noHit	None	1
30.2297988467	0	24	face	noHit	None	1
32.1958033068	0	24	face	Hit	1.49005473307	1
34.1618884639	0	24	face	noHit	None	1
36.1289698449	0	24	house	noHit	None	1
38.0950838224	0	24	house	noHit	None	1
40.0621969058	0	24	house	noHit	None	1
42.0282958327	0	24	house	noHit	None	1
43.9954550287	0	24	house	noHit	None	1
45.9615360229	0	24	house	noHit	None	1
47.9286126005	0	24	house	noHit	None	1
49.8957785213	0	24	house	noHit	None	1
51.8618585548	0	24	house	noHit	None	1
53.8289069525	0	24	house	noHit	None	1
55.7950244525	0	24	house	Hit	1.49005345217	1
57.7621810867	0	24	house	noHit	None	1
59.7283511038	0	24	house	noHit	None	1
61.6943962326	0	24	house	noHit	None	1
63.6615250071	0	24	house	noHit	None	1
65.6285698823	0	24	house	noHit	None	1
67.5946540788	0	24	house	noHit	None	1
69.5608029609	0	24	house	Hit	1.49004352515	1
71.5279205275	0	24	face	noHit	None	1
73.4939682182	0	24	face	noHit	None	1
75.4611619986	0	24	face	Hit	1.49004704764	1
77.4272311444	0	24	face	noHit	None	1
79.3943365424	0	24	face	noHit	None	1
81.3604108119	0	24	face	noHit	None	1
83.3275235751	0	24	face	noHit	None	1
85.2936574066	0	24	face	noHit	None	1
87.2608771253	0	24	face	noHit	None	1
89.2269168103	0	24	face	noHit	None	1
91.1940151634	0	24	face	noHit	None	1
93.1610664431	0	24	face	noHit	None	1
95.1271365496	0	24	face	noHit	None	1
97.0942512342	0	24	face	noHit	None	1
99.060394032	0	24	face	noHit	None	1
