onset	duration	subject	gender	effort	task	target	jitter	rt	acc
5.89521108034	0	24	male	LowEff	house	present	2.61194898667	0.31449324835	1
11.0118352423	0	24	male	LowEff	house	present	3.82281729501	0.642768714664	1
16.0115896288	0	24	male	LowEff	house	absent	3.36508039581	0.302326251636	1
20.3620964829	0	24	male	LowEff	house	absent	3.06856843557	0.219273649991	1
22.5785627093	0	24	male	LowEff	house	absent	1.00071246398	0.337824933584	1
26.1446180213	0	24	male	LowEff	house	present	2.23873791136	0.303883191707	1
31.5446475462	0	24	male	LowEff	house	absent	4.09934631111	0.260642399493	1
38.9109591673	0	24	male	LowEff	house	absent	6.11186967593	0.244838272931	1
43.894167463	0	24	male	LowEff	house	present	3.75365794179	0.3226766304	1
46.6940702423	0	24	male	LowEff	house	absent	1.48096019789	0.243791773517	1
49.5940056206	0	24	male	LowEff	house	present	1.66244373815	0.2031131116	1
55.5104621121	0	24	male	LowEff	house	present	4.71269619597	0.24916292856	1
58.8442025598	0	24	male	LowEff	house	absent	2.09352067237	0.28304799039	1
63.2269581195	0	24	male	LowEff	house	absent	3.11948513387	0.267253470611	1
67.5101569365	0	24	male	LowEff	house	present	3.03356644718	0.208017696983	1
70.9773965093	0	24	male	LowEff	house	present	2.24452168641	0.283040945411	1
76.4938884818	0	24	male	LowEff	house	absent	4.24638528173	0.296653443456	1
79.6605438339	0	24	male	LowEff	house	present	1.87874644664	0.239114869	1
91.0267654714	0	24	male	HighEff	house	absent	2.04281581756	0.298425895802	1
93.9094614691	0	24	male	HighEff	house	absent	1.60580268354	0.24619250978	1
100.09322683	0	24	male	HighEff	house	present	4.94441516883	0.256798403479	1
103.093095538	0	24	male	HighEff	house	present	1.74895763613	0.041102961708	1
106.793062426	0	24	male	HighEff	house	present	2.66293704015	0.185550622647	1
111.659546649	0	24	male	HighEff	house	present	3.68095418385	0.180397541686	1
115.476126492	0	24	male	HighEff	house	present	2.64717275356	0.221829055537	0
118.575854876	0	24	male	HighEff	house	absent	1.87874644664	0.205376791026	1
120.925957605	0	24	male	HighEff	house	present	1.14531903134	0.256176524084	1
128.158437386	0	24	male	HighEff	house	absent	5.98218419559	0.278514867465	0
135.24221562	0	24	male	HighEff	house	absent	5.80720145197	0.258725525107	0
137.791577537	0	24	male	HighEff	house	absent	1.30367239208	0.250147944531	1
141.741371503	0	24	male	HighEff	house	absent	2.72311239644	0.164146379266	0
147.407925984	0	24	male	HighEff	house	absent	4.52537719459	0.200786988054	0
150.824477583	0	24	male	HighEff	house	present	2.23873791136	0.197796715247	0
158.44166054	0	24	male	HighEff	house	present	6.42770617111	0.147671698915	0
161.024387791	0	24	male	HighEff	house	present	1.44688114326	0.0814921390865	1
164.440767749	0	24	male	HighEff	house	absent	2.35238510013	0.184633814868	0
174.907187542	0	24	male	LowEff	face	absent	1.22137835255	0.215944898027	1
182.090333586	0	24	male	LowEff	face	present	5.98218419559	0.180121506652	1
