onset	duration	subject	gender	effort	task	target	jitter	rt	acc
5.34024763658	0	4	male	HighEff	face	present	2.06193952016	0.359487729289	0
13.0728906284	0	4	male	HighEff	face	present	6.3800526378	0.687057969091	1
20.2726336796	0	4	male	HighEff	face	absent	5.52162713644	0.695249010343	1
23.4727068831	0	4	male	HighEff	face	present	1.52026257021	0.536664508349	0
29.2224121158	0	4	male	HighEff	face	absent	4.22454080868	0.41319654592	1
32.7561353554	0	4	male	HighEff	face	present	2.1271846477	0.333242709592	1
36.1555020139	0	4	male	HighEff	face	absent	2.08491667914	0.316231384506	1
39.0054086042	0	4	male	HighEff	face	absent	1.5567404794	0.455619024196	1
44.2220310478	0	4	male	HighEff	face	absent	3.76836310167	0.5007867934	1
51.2217911991	0	4	male	HighEff	face	absent	5.52162713644	0.2767120682	1
54.9048927854	0	4	male	HighEff	face	absent	2.41743685741	0.456233216195	1
61.837982043	0	4	male	HighEff	face	absent	5.49097092499	0.906719990573	0
70.0210839496	0	4	male	HighEff	face	present	6.28998981488	0.367536590536	1
74.9045277286	0	4	male	HighEff	face	present	3.53905423273	0.532521114048	1
79.6875296609	0	4	male	HighEff	face	present	3.27389825177	0.343844726627	1
82.4207131928	0	4	male	HighEff	face	present	1.40729131008	0.512238688207	0
85.4206027151	0	4	male	HighEff	face	present	1.49650474275	0.223314510495	1
90.1876366161	0	4	male	HighEff	face	absent	3.54323664642	0.495274756453	1
102.620174766	0	4	male	HighEff	house	absent	2.86147954236	0.0772242364365	1
105.719982887	0	4	male	HighEff	house	absent	2.03440546932	0.357025837693	1
109.119864468	0	4	male	HighEff	house	absent	2.04372952498	0.403131866828	1
112.936480123	0	4	male	HighEff	house	present	2.42516074797	0.231776142067	0
116.736386425	0	4	male	HighEff	house	present	2.58192954912	0.223738808931	1
120.536386233	0	4	male	HighEff	house	present	2.58548182758	0.243177121061	1
124.053394676	0	4	male	HighEff	house	present	2.2756650206	0.347381294105	0
126.436581634	0	4	male	HighEff	house	present	1.04698028884	0.360530062426	0
131.235930424	0	4	male	HighEff	house	absent	3.45708051986	0.211455609417	1
133.785844251	0	4	male	HighEff	house	absent	1.35077202468	0.521032713572	1
140.569623691	0	4	male	HighEff	house	present	5.25575810629	0.181385179079	1
143.185544264	0	4	male	HighEff	house	absent	1.45125831332	0.301942614358	1
147.718786526	0	4	male	HighEff	house	absent	3.24320180242	0.418976931614	0
152.64098076	0	4	male	HighEff	house	present	3.50660297272	0.244528471547	1
156.735078305	0	4	male	HighEff	house	present	2.87170129674	0.223241819367	1
