onset	duration	subject	task	trialHit	rt	acc
0.717846344407	0	4	face	noHit	None	1
2.70035372079	0	4	face	noHit	None	1
4.66643194157	0	4	face	noHit	None	1
6.63364087765	0	4	face	Hit	1.49003395028	1
8.59966017698	0	4	face	noHit	None	1
10.566769523	0	4	face	noHit	None	1
12.5328570303	0	4	face	noHit	None	1
14.4999497246	0	4	face	noHit	None	1
16.4660343499	0	4	face	noHit	None	1
18.4331363308	0	4	face	noHit	None	1
20.3993420012	0	4	face	noHit	None	1
22.3663248583	0	4	face	noHit	None	1
24.3324799331	0	4	face	noHit	None	1
26.2995703858	0	4	face	noHit	None	1
28.2656377189	0	4	face	noHit	None	1
30.2327758852	0	4	face	Hit	1.49005028177	1
32.19883137	0	4	face	noHit	None	1
34.1659208621	0	4	face	noHit	None	1
36.1320656897	0	4	house	noHit	None	1
38.0991561425	0	4	house	noHit	None	1
40.0652612622	0	4	house	noHit	None	1
42.0323292991	0	4	house	noHit	None	1
43.9984885369	0	4	house	noHit	None	1
45.9657041977	0	4	house	noHit	None	1
47.9322585934	0	4	house	noHit	None	1
49.8988017812	0	4	house	Hit	1.49005668627	1
51.8648655919	0	4	house	noHit	None	1
53.8320002357	0	4	house	noHit	None	1
55.7994349306	0	4	house	noHit	None	1
57.7659099104	0	4	house	noHit	None	1
59.7313335908	0	4	house	noHit	None	1
61.698366403	0	4	house	Hit	1.49003907388	1
63.6644439833	0	4	house	noHit	None	1
65.6315344361	0	4	house	noHit	None	1
67.5976603704	0	4	house	noHit	None	1
69.5647348119	0	4	house	noHit	None	1
71.5308751563	0	4	face	noHit	None	1
73.4979358281	0	4	face	noHit	None	1
75.4640262175	0	4	face	noHit	None	1
77.431100659	0	4	face	Hit	1.49004131546	1
79.3982762916	0	4	face	noHit	None	1
81.3643721248	0	4	face	noHit	None	1
83.3304019915	0	4	face	noHit	None	1
85.2977156413	0	4	face	noHit	None	1
87.2636017269	0	4	face	Hit	1.4900253042	1
89.2306947415	0	4	face	noHit	None	1
91.1968488556	0	4	face	noHit	None	1
93.1649182369	0	4	face	noHit	None	1
95.1300197707	0	4	face	noHit	None	1
97.0972492012	0	4	face	noHit	None	1
99.0642179684	0	4	face	noHit	None	1
101.030331414	0	4	face	noHit	None	1
102.996408674	0	4	face	noHit	None	1
104.963508734	0	4	face	noHit	None	1
106.929646516	0	4	house	Hit	None	0
108.896707188	0	4	house	noHit	None	1
110.863804365	0	4	house	noHit	None	1
112.829917491	0	4	house	noHit	None	1
114.796011723	0	4	house	noHit	None	1
116.763090007	0	4	house	noHit	None	1
118.729202492	0	4	house	noHit	None	1
120.69631504	0	4	house	Hit	1.49005732672	1
122.662400946	0	4	house	noHit	None	1
124.629503568	0	4	house	noHit	None	1
126.59561285	0	4	house	noHit	None	1
128.562663595	0	4	house	noHit	None	1
130.529811688	0	4	house	noHit	None	1
132.495907842	0	4	house	noHit	None	1
134.463035441	0	4	house	noHit	None	1
136.429078437	0	4	house	noHit	None	1
138.396201552	0	4	house	noHit	None	1
140.362321723	0	4	house	noHit	None	1
142.329369585	0	4	face	noHit	None	1
144.295498082	0	4	face	noHit	None	1
146.262591737	0	4	face	noHit	None	1
148.229736948	0	4	face	noHit	None	1
150.195792112	0	4	face	noHit	None	1
152.161885384	0	4	face	noHit	None	1
154.129002095	0	4	face	noHit	None	1
156.09508608	0	4	face	noHit	None	1
158.062156358	0	4	face	noHit	None	1
160.029193013	0	4	face	noHit	None	1
161.995366021	0	4	face	noHit	None	1
163.961492916	0	4	face	noHit	None	1
165.928576644	0	4	face	noHit	None	1
167.894664151	0	4	face	noHit	None	1
169.861769975	0	4	face	Hit	1.49002434352	1
171.827884061	0	4	face	noHit	None	1
173.79495594	0	4	face	Hit	1.49002722555	1
175.761115178	0	4	face	noHit	None	1
177.728147029	0	4	house	noHit	None	1
179.695253173	0	4	house	noHit	None	1
181.661376226	0	4	house	noHit	None	1
183.627441958	0	4	house	noHit	None	1
185.594534332	0	4	house	noHit	None	1
187.560748008	0	4	house	noHit	None	1
189.527752	0	4	house	noHit	None	1
191.49382958	0	4	house	Hit	1.4900291469	1
193.46090146	0	4	house	noHit	None	1
195.427052692	0	4	house	noHit	None	1
197.394124251	0	4	house	noHit	None	1
199.360186141	0	4	house	Hit	1.49005988853	1
201.327368818	0	4	house	noHit	None	1
203.293475859	0	4	house	noHit	None	1
205.260548059	0	4	house	noHit	None	1
207.226781909	0	4	house	noHit	None	1
209.193708087	0	4	house	noHit	None	1
211.159820251	0	4	house	noHit	None	1
213.126970906	0	4	face	Hit	None	0
215.093069621	0	4	face	noHit	None	1
217.060165198	0	4	face	noHit	None	1
219.026257188	0	4	face	Hit	1.49004131546	1
220.993353725	0	4	face	noHit	None	1
222.959455963	0	4	face	noHit	None	1
224.926550899	0	4	face	noHit	None	1
226.892652816	0	4	face	noHit	None	1
228.859725657	0	4	face	noHit	None	1
230.825841664	0	4	face	noHit	None	1
232.792937881	0	4	face	noHit	None	1
234.759040118	0	4	face	noHit	None	1
236.726130571	0	4	face	noHit	None	1
238.692265792	0	4	face	noHit	None	1
240.659360088	0	4	face	noHit	None	1
242.625421657	0	4	face	noHit	1.4900291469	0
244.593740173	0	4	face	noHit	None	1
246.558612105	0	4	face	noHit	None	1
248.52573362	0	4	house	noHit	None	1
250.491799032	0	4	house	noHit	None	1
252.458903895	0	4	house	noHit	None	1
254.425043599	0	4	house	noHit	None	1
256.392078973	0	4	house	noHit	None	1
258.358206188	0	4	house	noHit	None	1
260.325296	0	4	house	noHit	None	1
262.292417515	0	4	house	noHit	None	1
264.258481966	0	4	house	noHit	None	1
266.224759687	0	4	house	noHit	None	1
268.191720128	0	4	house	noHit	None	1
270.159951223	0	4	house	Hit	1.49003587163	1
272.124910257	0	4	house	noHit	None	1
274.092619065	0	4	house	noHit	None	1
276.058140093	0	4	house	noHit	None	1
278.024235606	0	4	house	Hit	1.49003266938	1
279.991451908	0	4	house	noHit	None	1
281.957429257	0	4	house	noHit	None	1
283.924471997	0	4	face	noHit	None	1
285.891596393	0	4	face	Hit	1.49004932109	1
287.85766949	0	4	face	noHit	None	1
289.823770447	0	4	face	Hit	1.49003330983	1
291.790879473	0	4	face	noHit	None	1
293.758244359	0	4	face	noHit	None	1
295.724108349	0	4	face	noHit	None	1
297.691530875	0	4	face	noHit	None	1
299.657281185	0	4	face	noHit	None	1
301.624409425	0	4	face	noHit	None	1
303.590556174	0	4	face	noHit	None	1
305.557576817	0	4	face	noHit	None	1
307.523712999	0	4	face	noHit	None	1
309.490784878	0	4	face	noHit	None	1
311.456981903	0	4	face	noHit	None	1
313.423001843	0	4	face	noHit	None	1
315.39009838	0	4	face	noHit	1.4900342705	0
317.357159051	0	4	face	noHit	None	1
319.323304519	0	4	house	noHit	None	1
321.290385686	0	4	house	noHit	None	1
323.256522508	0	4	house	noHit	None	1
325.223613281	0	4	house	noHit	None	1
327.206699944	0	4	house	noHit	None	1
329.173730515	0	4	house	noHit	None	1
331.139863815	0	4	house	noHit	None	1
333.106953307	0	4	house	noHit	None	1
335.073067393	0	4	house	noHit	None	1
337.039190765	0	4	house	noHit	None	1
339.006234145	0	4	house	noHit	None	1
340.972383776	0	4	house	noHit	None	1
342.939455656	0	4	house	noHit	None	1
344.906586136	0	4	house	Hit	None	0
346.872670441	0	4	house	Hit	None	0
348.839746484	0	4	house	noHit	None	1
350.805828548	0	4	house	noHit	None	1
352.771989707	0	4	house	noHit	None	1
354.739045895	0	4	face	noHit	None	1
356.706142432	0	4	face	noHit	None	1
358.672289181	0	4	face	noHit	None	1
360.638368363	0	4	face	noHit	None	1
362.605503647	0	4	face	Hit	1.4900329896	1
364.572564639	0	4	face	noHit	None	1
366.538659832	0	4	face	noHit	None	1
368.504846289	0	4	face	noHit	None	1
370.471875258	0	4	face	noHit	None	1
372.437953159	0	4	face	noHit	None	1
374.40525464	0	4	face	noHit	None	1
376.3721283	0	4	face	Hit	1.49008390542	1
378.338270886	0	4	face	noHit	None	1
380.304371523	0	4	face	noHit	None	1
382.27145429	0	4	face	noHit	None	1
384.237554606	0	4	face	noHit	None	1
386.204657548	0	4	face	noHit	None	1
388.170754662	0	4	face	noHit	None	1
390.137810851	0	4	house	noHit	None	1
392.104935247	0	4	house	noHit	None	1
394.071086159	0	4	house	noHit	None	1
396.037159577	0	4	house	noHit	None	1
398.004246507	0	4	house	noHit	None	1
399.971332476	0	4	house	noHit	None	1
401.937417742	0	4	house	noHit	None	1
403.904527088	0	4	house	noHit	None	1
405.870659747	0	4	house	noHit	None	1
407.837775818	0	4	house	Hit	1.49002722555	1
409.80384155	0	4	house	Hit	1.49004131546	1
411.769928737	0	4	house	noHit	None	1
413.737032319	0	4	house	noHit	None	1
415.704121811	0	4	house	noHit	None	1
417.670299942	0	4	house	noHit	None	1
419.636291702	0	4	house	noHit	None	1
421.603396885	0	4	house	noHit	None	1
423.570541776	0	4	house	noHit	None	1
425.536636969	0	4	face	noHit	None	1
427.503720057	0	4	face	noHit	None	1
429.469805002	0	4	face	noHit	None	1
431.436923635	0	4	face	noHit	None	1
433.403023951	0	4	face	noHit	None	1
435.37009519	0	4	face	noHit	None	1
437.336238737	0	4	face	noHit	None	1
439.303314779	0	4	face	noHit	None	1
441.269402927	0	4	face	noHit	None	1
443.237003819	0	4	face	noHit	None	1
445.202590494	0	4	face	noHit	None	1
447.169702082	0	4	face	noHit	None	1
449.135825774	0	4	face	noHit	None	1
451.102890929	0	4	face	Hit	1.4900608492	1
453.069015583	0	4	face	noHit	None	1
455.036114682	0	4	face	Hit	1.49004515816	1
457.002219481	0	4	face	noHit	None	1
458.969274709	0	4	face	noHit	None	1
460.935409289	0	4	house	noHit	None	1
462.902527922	0	4	house	noHit	None	1
464.869605566	0	4	house	noHit	None	1
466.835705882	0	4	house	noHit	None	1
468.801820929	0	4	house	noHit	None	1
470.768892808	0	4	house	Hit	1.49005476492	1
472.735009136	0	4	house	noHit	None	1
474.702054437	0	4	house	noHit	None	1
476.668154753	0	4	house	noHit	None	1
478.635959308	0	4	house	noHit	None	1
480.60161227	0	4	house	noHit	None	1
482.568493936	0	4	house	noHit	None	1
484.534568954	0	4	house	noHit	None	1
486.501693351	0	4	house	noHit	None	1
488.467775735	0	4	house	noHit	None	1
490.4350548	0	4	house	Hit	1.49006116942	1
492.400984116	0	4	house	noHit	None	1
494.368053754	0	4	house	noHit	None	1
496.334165919	0	4	face	noHit	None	1
498.301276546	0	4	face	noHit	None	1
500.267396396	0	4	face	noHit	None	1
502.234523034	0	4	face	noHit	None	1
504.200603496	0	4	face	noHit	None	1
506.167674736	0	4	face	noHit	None	1
508.133874962	0	4	face	noHit	1.49002370307	0
510.101026258	0	4	face	noHit	None	1
512.068050104	0	4	face	noHit	None	1
514.03405051	0	4	face	noHit	None	1
516.000203663	0	4	face	noHit	None	1
517.96728611	0	4	face	noHit	None	1
519.933415887	0	4	face	noHit	None	1
521.900452542	0	4	face	noHit	None	1
523.866491696	0	4	face	Hit	1.49005348402	1
525.833639789	0	4	face	noHit	None	1
527.800802292	0	4	face	noHit	None	1
529.768849258	0	4	face	Hit	1.49002626487	1
531.733941505	0	4	house	Hit	None	0
533.700091136	0	4	house	noHit	None	1
535.666158789	0	4	house	noHit	None	1
537.634245783	0	4	house	noHit	None	1
539.600343538	0	4	house	noHit	None	1
541.567473698	0	4	house	noHit	None	1
543.53352438	0	4	house	noHit	None	1
545.499708595	0	4	house	noHit	None	1
547.465724372	0	4	house	noHit	None	1
549.43287951	0	4	house	noHit	None	1
551.40003753	0	4	house	noHit	None	1
553.366117673	0	4	house	noHit	None	1
555.333178985	0	4	house	noHit	None	1
557.299247919	0	4	house	noHit	None	1
559.266362068	0	4	house	noHit	None	1
561.232437407	0	4	house	noHit	None	1
563.19952786	0	4	house	Hit	1.4901002369	1
565.165677171	0	4	house	noHit	None	1
