onset	duration	subject	task	trialHit	rt	acc
0.717059441751	0	11	house	noHit	None	1
2.68361981567	0	11	house	noHit	None	1
4.64970882106	0	11	house	noHit	None	1
6.63280680103	0	11	house	noHit	None	1
8.59887915482	0	11	house	Hit	1.49003145232	1
10.5659368353	0	11	house	noHit	None	1
12.533031982	0	11	house	noHit	None	1
14.4991530097	0	11	house	noHit	None	1
16.4662257407	0	11	house	noHit	None	1
18.4323458077	0	11	house	noHit	None	1
20.3984232851	0	11	house	Hit	1.4900298512	1
22.3655174711	0	11	house	noHit	None	1
24.3325703482	0	11	house	noHit	None	1
26.2986731232	0	11	house	noHit	None	1
28.265769871	0	11	house	noHit	None	1
30.2319363704	0	11	house	noHit	None	1
32.1979369942	0	11	house	noHit	None	1
34.1650315004	0	11	house	noHit	None	1
36.1321260065	0	11	face	noHit	None	1
38.098207967	0	11	face	noHit	None	1
40.0652397095	0	11	face	noHit	None	1
42.0313722652	0	11	face	noHit	None	1
43.9984209795	0	11	face	noHit	None	1
45.9649390839	0	11	face	noHit	None	1
47.9315984068	0	11	face	noHit	None	1
49.8976525079	0	11	face	Hit	1.49005899152	1
51.864789924	0	11	face	noHit	None	1
53.8308257723	0	11	face	Hit	1.49005002527	1
55.7979996939	0	11	face	noHit	None	1
57.7640134468	0	11	face	noHit	None	1
59.7311470202	0	11	face	noHit	None	1
61.6971710203	0	11	face	noHit	None	1
63.6662688427	0	11	face	noHit	None	1
65.6473721525	0	11	face	noHit	None	1
67.6144445633	0	11	face	noHit	None	1
69.5805889673	0	11	face	noHit	None	1
71.5467010288	0	11	house	Hit	None	0
73.5137852878	0	11	house	noHit	None	1
75.4798144115	0	11	house	noHit	None	1
77.4468740133	0	11	house	noHit	None	1
79.412959176	0	11	house	noHit	None	1
81.3800837832	0	11	house	Hit	1.49006091286	1
83.3471674018	0	11	house	noHit	None	1
85.3132823453	0	11	house	noHit	None	1
87.2793422103	0	11	house	noHit	None	1
89.2464018122	0	11	house	noHit	None	1
91.2125289242	0	11	house	noHit	None	1
93.1795997338	0	11	house	noHit	None	1
95.1466766277	0	11	house	noHit	None	1
97.1127659534	0	11	house	noHit	None	1
99.079921302	0	11	house	noHit	None	1
101.046072751	0	11	house	noHit	None	1
103.012091627	0	11	house	noHit	None	1
104.979145465	0	11	house	noHit	None	1
106.945186437	0	11	face	noHit	None	1
108.912291831	0	11	face	noHit	None	1
110.878359702	0	11	face	noHit	None	1
112.845451646	0	11	face	Hit	1.49005963196	1
114.812549354	0	11	face	noHit	None	1
116.778594169	0	11	face	noHit	None	1
118.744703348	0	11	face	noHit	None	1
120.711807141	0	11	face	noHit	None	1
122.677859321	0	11	face	noHit	None	1
124.644936215	0	11	face	noHit	None	1
126.611060765	0	11	face	noHit	None	1
128.578123249	0	11	face	Hit	1.49008204759	1
130.544244917	0	11	face	noHit	None	1
132.51127794	0	11	face	noHit	None	1
