onset	duration	subject	task	trialHit	rt	acc
0.719311695073	0	5	house	Hit	None	0
2.70178128488	0	5	house	noHit	None	1
4.66783580899	0	5	house	noHit	None	1
6.63495380111	0	5	house	noHit	None	1
8.60107461184	0	5	house	noHit	None	1
10.5681048622	0	5	house	noHit	None	1
12.5342189482	0	5	house	noHit	None	1
14.5013628786	0	5	house	Hit	1.49006693348	1
16.4674452623	0	5	house	noHit	None	1
18.434529951	0	5	house	noHit	None	1
20.4006670932	0	5	house	noHit	None	1
22.3677261639	0	5	house	noHit	None	1
24.333880278	0	5	house	noHit	None	1
26.3009435116	0	5	house	noHit	1.49004387726	0
28.267056637	0	5	house	noHit	None	1
30.2341294773	0	5	house	noHit	None	1
32.2002205071	0	5	house	noHit	None	1
34.1673612352	0	5	house	noHit	None	1
36.1344494464	0	5	face	noHit	None	1
38.1005526447	0	5	face	noHit	None	1
40.0665998036	0	5	face	noHit	None	1
42.0337405317	0	5	face	noHit	None	1
43.9998619829	0	5	face	noHit	None	1
45.9668906322	0	5	face	noHit	None	1
47.9340172704	0	5	face	noHit	None	1
49.9001384013	0	5	face	noHit	None	1
51.866240639	0	5	face	noHit	None	1
53.833392575	0	5	face	noHit	None	1
55.7997506726	0	5	face	noHit	None	1
57.7686984317	0	5	face	noHit	None	1
59.7496863394	0	5	face	noHit	None	1
61.7166999381	0	5	face	noHit	None	1
63.6828454061	0	5	face	noHit	None	1
65.6488986494	0	5	face	Hit	1.49006116942	1
67.61600031	0	5	face	Hit	1.4900595683	1
69.5821435365	0	5	face	noHit	None	1
71.5492650511	0	5	house	noHit	None	1
73.5153852213	0	5	house	noHit	None	1
75.4823984998	0	5	house	Hit	1.49003266938	1
77.4485292375	0	5	house	Hit	1.49004291659	1
79.4156072015	0	5	house	noHit	None	1
81.3817260909	0	5	house	noHit	None	1
83.3488495268	0	5	house	noHit	None	1
85.3159143615	0	5	house	noHit	None	1
87.2831130504	0	5	house	noHit	None	1
89.2490904002	0	5	house	noHit	None	1
91.2151881547	0	5	house	noHit	None	1
93.1823045457	0	5	house	noHit	None	1
95.1484836375	0	5	house	noHit	None	1
97.1154940339	0	5	house	noHit	1.49002050082	0
99.0816327772	0	5	house	noHit	None	1
101.0487085	0	5	house	noHit	1.49003395028	0
103.01477199	0	5	house	noHit	None	1
104.981931932	0	5	house	noHit	None	1
106.948008231	0	5	face	noHit	None	1
108.915119498	0	5	face	noHit	None	1
110.882174086	0	5	face	Hit	1.49004387726	1
112.848292975	0	5	face	noHit	None	1
114.815364535	0	5	face	noHit	None	1
116.782437055	0	5	face	noHit	None	1
118.748626074	0	5	face	noHit	None	1
120.714697249	0	5	face	noHit	None	1
122.681772331	0	5	face	noHit	None	1
124.647914917	0	5	face	noHit	None	1
126.614971747	0	5	face	noHit	1.49003266938	0
128.58109608	0	5	face	Hit	1.49005604582	1
130.548162195	0	5	face	noHit	None	1
132.514287809	0	5	face	noHit	1.49002498397	0
134.481377942	0	5	face	noHit	None	1
136.447467371	0	5	face	noHit	None	1
138.414574155	0	5	face	noHit	None	1
140.38067255	0	5	face	noHit	None	1
142.347760121	0	5	house	noHit	None	1
144.313876128	0	5	house	noHit	None	1
146.280959215	0	5	house	noHit	None	1
148.24708579	0	5	house	noHit	None	1
150.214141018	0	5	house	noHit	None	1
152.180235891	0	5	house	Hit	1.49002754578	1
154.148333772	0	5	house	noHit	None	1
156.113572362	0	5	house	noHit	None	1
158.080572511	0	5	house	noHit	None	1
160.046684676	0	5	house	noHit	None	1
162.01286697	0	5	house	noHit	None	1
163.979830614	0	5	house	noHit	None	1
165.945957188	0	5	house	noHit	None	1
167.913041877	0	5	house	noHit	None	1
169.880155706	0	5	house	noHit	None	1
171.846239691	0	5	house	noHit	None	1
173.813335588	0	5	house	Hit	1.49004932109	1
175.779517241	0	5	house	noHit	None	1
177.746593284	0	5	face	Hit	None	0
179.712687196	0	5	face	noHit	None	1
181.679764839	0	5	face	noHit	None	1
183.645825448	0	5	face	noHit	None	1
185.612942159	0	5	face	noHit	None	1
187.579041515	0	5	face	noHit	None	1
189.546169114	0	5	face	noHit	None	1
191.512267508	0	5	face	noHit	None	1
193.479302882	0	5	face	noHit	None	1
195.445466283	0	5	face	noHit	None	1
197.412516067	0	5	face	Hit	None	0
199.378659934	0	5	face	noHit	None	1
201.345758393	0	5	face	noHit	None	1
203.311844619	0	5	face	noHit	None	1
205.278963892	0	5	face	noHit	None	1
207.245062607	0	5	face	noHit	None	1
209.21215338	0	5	face	noHit	None	1
211.178255298	0	5	face	noHit	None	1
213.145294514	0	5	house	noHit	None	1
215.111459836	0	5	house	noHit	None	1
217.078542924	0	5	house	noHit	None	1
219.044622746	0	5	house	Hit	None	0
221.011761553	0	5	house	noHit	None	1
222.97783529	0	5	house	noHit	None	1
224.944962249	0	5	house	noHit	None	1
226.911057762	0	5	house	noHit	None	1
228.878104984	0	5	house	noHit	None	1
230.844245328	0	5	house	noHit	None	1
232.811287747	0	5	house	noHit	None	1
234.777424569	0	5	house	noHit	None	1
236.744515983	0	5	house	noHit	None	1
238.710984238	0	5	house	Hit	1.4900240233	1
240.677730448	0	5	house	noHit	None	1
242.64380931	0	5	house	noHit	None	1
244.610927942	0	5	house	noHit	None	1
