onset	duration	subject	task	trialHit	rt	acc
0.725889844729	0	18	face	noHit	None	1
2.70438601098	0	18	face	noHit	None	1
4.67049710644	0	18	face	noHit	None	1
6.63759513922	0	18	face	noHit	None	1
8.60473928459	0	18	face	noHit	None	1
10.5708241215	0	18	face	noHit	None	1
12.5368951887	0	18	face	noHit	None	1
14.5039724067	0	18	face	Hit	1.49003776108	1
16.4711767546	0	18	face	noHit	None	1
18.4371940238	0	18	face	Hit	1.49003327791	1
20.4042971802	0	18	face	noHit	None	1
22.3705357257	0	18	face	noHit	None	1
24.3365353824	0	18	face	noHit	None	1
26.3036324545	0	18	face	noHit	None	1
28.2697602018	0	18	face	noHit	None	1
30.2368774481	0	18	face	noHit	None	1
32.204035043	0	18	face	noHit	None	1
34.1700318177	0	18	face	noHit	None	1
36.1381497711	0	18	house	noHit	None	1
38.1033014687	0	18	house	noHit	None	1
40.0703995015	0	18	house	noHit	None	1
42.0365794456	0	18	house	noHit	None	1
44.0026710072	0	18	house	noHit	None	1
45.9697001914	0	18	house	noHit	None	1
47.9357638933	0	18	house	noHit	None	1
49.9028993926	0	18	house	Hit	1.49002559248	1
51.8700409762	0	18	house	noHit	None	1
53.836127094	0	18	house	noHit	None	1
55.8032264077	0	18	house	noHit	None	1
57.7693301379	0	18	house	noHit	None	1
59.7354380311	0	18	house	noHit	None	1
61.7025741708	0	18	house	noHit	None	1
63.6696549114	0	18	house	noHit	None	1
65.6356814671	0	18	house	Hit	1.49004832855	1
67.6018607707	0	18	house	noHit	None	1
69.5689780171	0	18	house	noHit	None	1
71.5360485104	0	18	face	noHit	None	1
73.5021887465	0	18	face	noHit	None	1
75.4693015097	0	18	face	noHit	None	1
77.4353309474	0	18	face	noHit	None	1
79.4024658062	0	18	face	noHit	None	1
81.3685573679	0	18	face	Hit	1.4900307161	1
83.3356992717	0	18	face	noHit	None	1
85.3018097267	0	18	face	noHit	None	1
87.2688888661	0	18	face	noHit	None	1
89.2350252594	0	18	face	noHit	None	1
91.2020915898	0	18	face	noHit	None	1
93.1683022757	0	18	face	Hit	1.49003295769	1
95.1353695667	0	18	face	noHit	None	1
97.1014006056	0	18	face	noHit	None	1
99.0685393071	0	18	face	noHit	None	1
101.03563734	0	18	face	noHit	None	1
103.001793587	0	18	face	noHit	None	1
104.967833593	0	18	face	noHit	None	1
106.935151941	0	18	house	Hit	None	0
108.904055409	0	18	house	noHit	None	1
110.884299691	0	18	house	noHit	None	1
112.851355133	0	18	house	noHit	None	1
114.817413712	0	18	house	Hit	1.49003968244	1
116.784863033	0	18	house	noHit	None	1
118.750587935	0	18	house	noHit	None	1
120.717670597	0	18	house	noHit	None	1
122.683798985	0	18	house	noHit	None	1
124.65085795	0	18	house	noHit	None	1
126.616971928	0	18	house	noHit	None	1
128.58411223	0	18	house	noHit	None	1
130.551249011	0	18	house	noHit	None	1
132.517395011	0	18	house	noHit	None	1
134.483411319	0	18	house	noHit	None	1
136.450513835	0	18	house	noHit	None	1
138.417598418	0	18	house	noHit	None	1
140.383738654	0	18	house	noHit	None	1
142.349839823	0	18	face	noHit	None	1
144.316967957	0	18	face	noHit	None	1
146.284131316	0	18	face	noHit	None	1
148.250194377	0	18	face	noHit	None	1
150.217295292	0	18	face	noHit	None	1
152.183393258	0	18	face	noHit	None	1
154.150484566	0	18	face	noHit	None	1
156.117582279	0	18	face	noHit	None	1
158.083708745	0	18	face	noHit	None	1
160.052813316	0	18	face	Hit	1.49002239022	1
162.0329769	0	18	face	noHit	None	1
164.000041309	0	18	face	noHit	None	1
165.966308035	0	18	face	noHit	None	1
167.933235387	0	18	face	noHit	None	1
169.89934328	0	18	face	noHit	None	1
171.866430105	0	18	face	noHit	None	1
173.832496369	0	18	face	Hit	1.49005569375	1
175.799647559	0	18	face	noHit	None	1
177.766748794	0	18	house	noHit	None	1
179.732825305	0	18	house	noHit	None	1
181.698984434	0	18	house	noHit	None	1
183.6661004	0	18	house	noHit	None	1
185.633174095	0	18	house	Hit	1.49003135656	1
187.599308888	0	18	house	noHit	None	1
189.565386359	0	18	house	noHit	None	1
191.532489516	0	18	house	noHit	None	1
193.498591004	0	18	house	noHit	None	1
195.465652531	0	18	house	Hit	1.4900428847	1
197.431774194	0	18	house	noHit	None	1
199.398884396	0	18	house	noHit	None	1
201.364985564	0	18	house	noHit	None	1
203.332178704	0	18	house	noHit	None	1
205.298178361	0	18	house	noHit	None	1
207.265409608	0	18	house	noHit	None	1
209.231407984	0	18	house	noHit	None	1
211.198508258	0	18	house	noHit	None	1
213.164627679	0	18	face	noHit	None	1
215.13172251	0	18	face	noHit	None	1
217.097863707	0	18	face	noHit	None	1
219.064971987	0	18	face	noHit	None	1
221.032076104	0	18	face	noHit	None	1
222.99817439	0	18	face	noHit	None	1
224.964324233	0	18	face	Hit	1.49003327791	1
226.93135694	0	18	face	Hit	1.49002623293	1
228.898498523	0	18	face	noHit	None	1
230.86459745	0	18	face	noHit	None	1
232.830664674	0	18	face	noHit	None	1
234.797811702	0	18	face	noHit	None	1
236.764893083	0	18	face	noHit	None	1
238.731014746	0	18	face	noHit	None	1
