onset	duration	subject	task	trialHit	rt	acc
0.725518382269	0	19	house	Hit	None	0
2.69604731919	0	19	house	noHit	None	1
4.6621456056	0	19	house	noHit	None	1
6.6292036101	0	19	house	noHit	None	1
8.59632758122	0	19	house	noHit	None	1
10.5624293901	0	19	house	noHit	None	1
12.529596912	0	19	house	noHit	None	1
14.495633715	0	19	house	noHit	None	1
16.4637346964	0	19	house	noHit	None	1
18.42890913	0	19	house	noHit	None	1
20.3960039606	0	19	house	noHit	None	1
22.3631529093	0	19	house	noHit	None	1
24.3291612121	0	19	house	noHit	None	1
26.2962733349	0	19	house	Hit	1.49006498031	1
28.2623841101	0	19	house	noHit	None	1
30.2295340196	0	19	house	noHit	None	1
32.1955855529	0	19	house	noHit	None	1
34.1617062552	0	19	house	noHit	None	1
36.1287741867	0	19	face	noHit	None	1
38.0949288329	0	19	face	noHit	None	1
40.0620480006	0	19	face	noHit	None	1
42.0280707136	0	19	face	Hit	1.49005121058	1
43.9952423985	0	19	face	noHit	None	1
45.9613358815	0	19	face	noHit	None	1
47.9284797066	0	19	face	noHit	None	1
49.8955687731	0	19	face	noHit	None	1
51.861660655	0	19	face	Hit	1.49006978371	1
53.828744918	0	19	face	noHit	None	1
55.7948537719	0	19	face	noHit	None	1
57.7619681362	0	19	face	noHit	None	1
59.7280926812	0	19	face	noHit	None	1
61.6942521308	0	19	face	noHit	None	1
63.6612797138	0	19	face	noHit	None	1
65.6273767193	0	19	face	noHit	None	1
67.5944779543	0	19	face	noHit	None	1
69.5619935622	0	19	face	noHit	None	1
71.5277344761	0	19	house	noHit	None	1
73.4938388468	0	19	house	noHit	None	1
75.4609253514	0	19	house	noHit	None	1
77.4269948175	0	19	house	noHit	None	1
79.3941898788	0	19	house	noHit	None	1
81.3602894461	0	19	house	noHit	None	1
83.3273612203	0	19	house	noHit	None	1
85.2934380516	0	19	house	noHit	None	1
87.2606676974	0	19	house	noHit	None	1
89.2276052968	0	19	house	noHit	None	1
91.1937903645	0	19	house	Hit	1.4900355195	1
93.1598178809	0	19	house	noHit	None	1
95.1269508184	0	19	house	noHit	None	1
97.0931041837	0	19	house	Hit	1.49004480606	1
99.0601573848	0	19	house	noHit	None	1
101.027309216	0	19	house	noHit	None	1
102.993365873	0	19	house	noHit	None	1
104.959477929	0	19	house	noHit	None	1
106.92656027	0	19	face	noHit	None	1
108.892703068	0	19	face	noHit	None	1
110.860925095	0	19	face	noHit	None	1
112.827052522	0	19	face	noHit	None	1
114.793076836	0	19	face	noHit	None	1
116.760114987	0	19	face	noHit	None	1
118.726232487	0	19	face	noHit	None	1
