onset	duration	subject	gender	effort	task	target	jitter	rt	acc
5.07878910923	0	31	male	LowEff	house	present	1.80373690241	0.615732652062	0
10.3953007437	0	31	male	LowEff	house	present	3.71409835418	0.618808745508	0
13.7951371721	0	31	male	LowEff	house	present	1.80373690241	None	0
18.3450476369	0	31	male	LowEff	house	absent	2.58293796435	0.406100694507	0
22.7288823591	0	31	male	LowEff	house	absent	2.98192011329	0.545915642156	1
25.344870872	0	31	male	LowEff	house	present	1.08262383175	0.602995652609	0
28.2280760294	0	31	male	LowEff	house	absent	1.30553703187	0.601525173627	1
32.3946369147	0	31	male	LowEff	house	present	2.58293796435	0.454054576802	0
36.4112867588	0	31	male	LowEff	house	absent	2.59429203609	0.250277956393	0
39.8445759436	0	31	male	LowEff	house	absent	2.2080924544	0.314423439026	0
44.5776305306	0	31	male	LowEff	house	absent	3.43959743628	0.310136890321	0
49.2778148529	0	31	male	LowEff	house	present	3.3956161234	0.461533461082	0
52.51085535	0	31	male	LowEff	house	absent	1.81615124352	0.576859746022	0
58.1607023459	0	31	male	LowEff	house	present	4.09134810026	0.600454657243	1
60.9938609424	0	31	male	LowEff	house	present	1.24346220831	0.537413314752	0
64.1938156624	0	31	male	LowEff	house	absent	1.69572412657	0.36341133191	0
71.743566014	0	31	male	LowEff	house	present	6.21537588017	0.292014645868	0
74.243580104	0	31	male	LowEff	house	absent	1.22713996807	0.294213319363	0
86.0598288327	0	31	male	HighEff	house	absent	2.46707751232	0.303170368055	1
89.5598249899	0	31	male	HighEff	house	absent	2.22221325743	0.31163586944	1
95.2095970529	0	31	male	HighEff	house	present	4.36174656153	0.323842574209	0
101.909416637	0	31	male	HighEff	house	present	5.38537791787	0.323071469377	0
104.859368475	0	31	male	HighEff	house	absent	1.63852135828	0.321176370377	1
108.092548271	0	31	male	HighEff	house	present	1.93867342465	0.236190242577	0
111.125820099	0	31	male	HighEff	house	absent	1.80345868114	0.213608207015	1
119.192303234	0	31	male	HighEff	house	present	6.87140889309	0.386356504052	1
123.758794374	0	31	male	HighEff	house	absent	3.19762741899	0.32403599087	1
