onset	duration	subject	gender	effort	task	target	jitter	rt	acc
6.7439160213	0	23	male	LowEff	house	absent	3.45849859782	0.6261255953	1
14.2771330912	0	23	male	LowEff	house	absent	5.90817044984	0.797953562069	1
17.8595916731	0	23	male	LowEff	house	absent	1.79826430458	0.564045572039	1
21.7430270732	0	23	male	LowEff	house	present	2.33415516812	0.438420810609	1
28.0593619428	0	23	male	LowEff	house	present	4.88216129308	0.577772711087	1
32.7759754732	0	23	male	LowEff	house	present	3.15228075584	0.437487351062	1
36.7091967701	0	23	male	LowEff	house	present	2.50071169663	0.644092530019	1
39.9923094462	0	23	male	LowEff	house	present	1.64813096042	0.399007682869	1
46.9254324335	0	23	male	LowEff	house	present	5.54963030548	0.447711535064	1
49.6925017741	0	23	male	LowEff	house	absent	1.33950715714	0.642283251653	1
52.5752964014	0	23	male	LowEff	house	absent	1.25372833042	0.590310209582	1
55.2252609204	0	23	male	LowEff	house	present	1.06815555093	0.470453363529	1
62.9583171085	0	23	male	LowEff	house	present	6.26041918958	0.540285744295	1
66.1582247553	0	23	male	LowEff	house	absent	1.66243525902	0.582250434867	1
68.7914936377	0	23	male	LowEff	house	absent	1.0621180871	0.581154300382	1
73.8580206431	0	23	male	LowEff	house	absent	3.50037352787	0.505983427651	1
77.1246816951	0	23	male	LowEff	house	absent	1.76034482398	0.770181299298	1
81.275055143	0	23	male	LowEff	house	present	2.37683751031	0.663735849203	1
95.9240682697	0	23	male	HighEff	face	present	4.91784266628	0.907998355318	0
99.0740395134	0	23	male	HighEff	face	present	1.25372833042	0.681361422729	0
103.123903545	0	23	male	HighEff	face	absent	2.37683751031	0.525180671657	1
106.123851669	0	23	male	HighEff	face	present	1.47998591144	0.419332763757	1
111.157019744	0	23	male	HighEff	face	absent	3.61687603442	0.567407627534	1
114.25694955	0	23	male	HighEff	face	absent	1.55261122746	0.481812109163	1
117.873525038	0	23	male	HighEff	face	present	2.15644924203	0.799626424046	1
121.640130371	0	23	male	HighEff	face	absent	1.98334882881	0.46250951072	1
124.707249474	0	23	male	HighEff	face	present	1.60930622928	0.491364138246	0
127.606513338	0	23	male	HighEff	face	present	1.41872105948	0.807863924334	1
130.956615426	0	23	male	HighEff	face	absent	1.5552046598	0.510318970972	1
133.990164571	0	23	male	HighEff	face	absent	1.52681481085	0.53385848305	1
137.122916928	0	23	male	HighEff	face	absent	1.6100304368	0.533528329775	1
140.189498372	0	23	male	HighEff	face	present	1.55261122746	0.490018227278	1
143.039420813	0	23	male	HighEff	face	absent	1.37098495935	0.564465388665	1
147.805976511	0	23	male	HighEff	face	absent	3.21750768663	0.598024780389	1
151.889290417	0	23	male	HighEff	face	present	2.50071169663	0.57180945769	1
155.122426982	0	23	male	HighEff	face	present	1.67320052508	0.45413527382	0
165.98900279	0	23	male	HighEff	house	absent	1.34110297837	0.458044916215	1
170.455326195	0	23	male	HighEff	house	absent	3.01504113371	0.513371367673	1
174.455229807	0	23	male	HighEff	house	absent	2.50071169663	0.585062661874	1
180.938421771	0	23	male	HighEff	house	present	4.92311133745	0.444517598355	0
186.321551355	0	23	male	HighEff	house	absent	3.95260009808	0.365671809075	1
190.071442478	0	23	male	HighEff	house	absent	2.40628375502	0.514033915804	1
193.438093219	0	23	male	HighEff	house	absent	1.86228661614	0.628214751416	1
200.321172848	0	23	male	HighEff	house	absent	5.26245582162	0.796566341915	1
