onset	duration	subject	gender	effort	task	target	jitter	rt	acc
4.41171738805	0	12	male	HighEff	face	present	1.12569860714	0.309059270939	0
11.0278233208	0	12	male	HighEff	face	absent	5.31214211398	0.422868875872	1
13.5605809764	0	12	male	HighEff	face	absent	1.1236266291	0.519949007497	1
19.910343306	0	12	male	HighEff	face	present	4.83203588166	0.241907614035	0
25.6768703976	0	12	male	HighEff	face	present	4.54041853017	0.514076415743	1
33.460021929	0	12	male	HighEff	face	absent	6.27763137543	0.300900598562	1
36.7930983357	0	12	male	HighEff	face	absent	2.05349358692	0.68720211143	1
39.7096888958	0	12	male	HighEff	face	absent	1.22848205846	0.552251624497	1
44.392904536	0	12	male	HighEff	face	present	3.13548970069	0.249542399607	0
48.8261153729	0	12	male	HighEff	face	present	3.20705607284	0.363618110856	1
53.6592282853	0	12	male	HighEff	face	present	3.47913203869	0.393313462354	1
58.1924534682	0	12	male	HighEff	face	absent	3.14350962026	0.278560476903	1
62.9089666621	0	12	male	HighEff	face	present	3.45130284398	0.42819772692	1
67.1254183729	0	12	male	HighEff	face	present	2.8011948594	0.229891520848	0
71.7424186919	0	12	male	HighEff	face	absent	3.40145506974	0.230156026043	0
79.7923157078	0	12	male	HighEff	face	absent	6.82430129519	0.276595581162	1
84.2749560332	0	12	male	HighEff	face	present	3.21232733621	0.239687819823	1
87.0581146095	0	12	male	HighEff	face	absent	1.5546782026	0.344041524114	0
99.308313789	0	12	male	HighEff	house	present	2.82540846167	0.221110012386	1
103.274242894	0	12	male	HighEff	house	present	2.74397735532	0.184002751366	0
105.591199854	0	12	male	HighEff	house	absent	1.14843169066	0.227466783143	1
109.091137411	0	12	male	HighEff	house	present	2.28070263709	0.209482030938	1
115.223917098	0	12	male	HighEff	house	absent	4.92955033614	0.0986124044612	1
121.556927538	0	12	male	HighEff	house	present	5.2478151199	0.268055521754	1
123.923555757	0	12	male	HighEff	house	present	1.12569860714	0.264839189807	1
129.323291316	0	12	male	HighEff	house	absent	4.15603358255	0.16615249333	1
132.723199155	0	12	male	HighEff	house	absent	2.25482466282	0.113876211568	1
138.672978393	0	12	male	HighEff	house	absent	4.85180366797	0.217061097498	1
142.606236943	0	12	male	HighEff	house	present	2.73725383534	0.0673508363616	0
145.039478842	0	12	male	HighEff	house	absent	1.38905381006	0.288448039779	0
147.722722982	0	12	male	HighEff	house	present	1.40642072577	0.170479683055	1
150.555904102	0	12	male	HighEff	house	present	1.66856725589	0.235780764259	1
156.205719717	0	12	male	HighEff	house	present	4.41371408498	0.0130068668886	1
159.005633384	0	12	male	HighEff	house	absent	1.80277115312	0.313700280388	1
166.188711969	0	12	male	HighEff	house	absent	5.88455927999	0.323904224782	0
172.338558645	0	12	male	HighEff	house	absent	4.83203588166	0.223019829564	0
183.604851333	0	12	male	LowEff	house	absent	1.96442282644	0.336269362357	0
191.687852807	0	12	male	LowEff	house	absent	6.75295465995	0.466895541582	1
196.837662017	0	12	male	LowEff	house	present	3.70743833653	0.4799411556	1
199.938294396	0	12	male	LowEff	house	absent	1.62736500123	0.242300529138	1
204.121356009	0	12	male	LowEff	house	present	2.94263358763	0.224181923215	1
207.472615066	0	12	male	LowEff	house	absent	2.13507314744	0.364076351698	1
210.053891172	0	12	male	LowEff	house	present	1.23149327997	0.310922975831	1
213.437195387	0	12	male	LowEff	house	present	2.08868983003	0.539120830841	1
217.953649787	0	12	male	LowEff	house	present	2.98468485739	0.284141344404	1
225.103401998	0	12	male	LowEff	house	absent	5.88455927999	0.400752911159	1
229.886656642	0	12	male	LowEff	house	present	3.40171070026	0.209030835029	1
236.502995057	0	12	male	LowEff	house	present	5.41821618123	0.0104409103078	0
238.619684758	0	12	male	LowEff	house	absent	1.1236266291	0.436366006023	1
245.502779546	0	12	male	LowEff	house	absent	5.45280226417	0.519413592621	1
251.202566789	0	12	male	LowEff	house	present	4.17723126214	0.276861047031	1
254.952355121	0	12	male	LowEff	house	absent	2.49069832723	0.214022810211	1
258.036062369	0	12	male	LowEff	house	absent	1.88331581415	0.244829019486	1
262.668756557	0	12	male	LowEff	house	present	3.40171070026	0.445261834526	1
273.61838721	0	12	male	LowEff	face	present	1.43882995013	0.260721426715	1
279.551720373	0	12	male	LowEff	face	present	4.68812727264	0.419852043607	1
284.801683867	0	12	male	LowEff	face	absent	3.83406058685	0.28984677912	1
293.086118857	0	12	male	LowEff	face	present	6.99477971779	0.429657949309	1
296.085342954	0	12	male	LowEff	face	present	1.58955331807	0.281082562768	1
299.450926921	0	12	male	LowEff	face	absent	2.09431487246	0.234956186924	1
301.9174193	0	12	male	LowEff	face	absent	1.25594740849	0.437003572421	0
309.933945431	0	12	male	LowEff	face	absent	6.57698117369	0.251963935069	1
313.050476622	0	12	male	LowEff	face	absent	1.88721716383	0.29563675303	1
318.653139542	0	12	male	LowEff	face	absent	4.31089720702	0.222151061287	1
323.150035609	0	12	male	LowEff	face	absent	3.28750548499	0.205454571073	1
326.816565647	0	12	male	LowEff	face	absent	2.47318733813	0.376820634736	1
334.999719484	0	12	male	LowEff	face	absent	6.82514837105	0.247353026694	1
337.482873449	0	12	male	LowEff	face	present	1.25594740849	0.251888041931	1
340.649474576	0	12	male	LowEff	face	present	1.93857357056	0.326673843959	1
343.166019921	0	12	male	LowEff	face	present	1.19786684901	0.283757395579	1
350.049239275	0	12	male	LowEff	face	present	5.62169728165	0.457903005368	1
358.048847961	0	12	male	LowEff	face	present	6.55619140253	0.557232391831	1
382.214719938	0	12	male	LowEff	face	absent	4.52968257224	0.263223018229	1
387.381172162	0	12	male	LowEff	face	present	3.91872472459	0.498310497078	1
390.114547722	0	12	male	LowEff	face	absent	1.25594740849	0.333273344665	1
396.281060467	0	12	male	LowEff	face	absent	4.85503268434	0.276433227488	1
399.480759649	0	12	male	LowEff	face	present	1.93818202064	0.493278173646	1
403.697270281	0	12	male	LowEff	face	absent	2.73725383534	0.256273832687	1
406.147240372	0	12	male	LowEff	face	present	1.2068158269	0.356059858871	1
409.23111798	0	12	male	LowEff	face	present	1.72590357019	0.228492781505	1
413.130340219	0	12	male	LowEff	face	absent	2.68681283472	0.228953904365	1
415.614133352	0	12	male	LowEff	face	absent	1.25951227876	0.370032521971	1
422.580697141	0	12	male	LowEff	face	absent	5.59203269891	0.315160182554	1
427.246538697	0	12	male	LowEff	face	present	3.37310121079	0.25042685887	1
431.696370451	0	12	male	LowEff	face	present	3.21232733621	0.320037517468	1
436.662824083	0	12	male	LowEff	face	present	3.65330087731	0.349605419731	1
442.212629194	0	12	male	LowEff	face	absent	4.22029262442	0.234829057913	1
445.079275666	0	12	male	LowEff	face	absent	1.64986867731	0.340079069761	1
451.329145975	0	12	male	LowEff	face	present	4.92250997964	0.378521985954	1
454.297356677	0	12	male	LowEff	face	present	1.59610500292	0.284798764703	1
468.761767599	0	12	male	LowEff	house	present	5.11726375209	0.24296723594	1
472.194947695	0	12	male	LowEff	house	absent	2.20829207345	0.241613968436	1
474.628257481	0	12	male	LowEff	house	present	1.2003453545	0.254448874924	1
477.211575657	0	12	male	LowEff	house	present	1.33830742669	0.339490497667	1
479.628534795	0	12	male	LowEff	house	absent	1.09234824173	0.258159312824	1
487.694592566	0	12	male	LowEff	house	present	6.82430129519	0.32721502287	1
492.110926947	0	12	male	LowEff	house	absent	3.10095974299	0.245567776735	1
495.644186714	0	12	male	LowEff	house	present	2.30586275711	0.285849100105	1
499.960667821	0	12	male	LowEff	house	absent	3.02681816778	0.254148184393	1
505.160747429	0	12	male	LowEff	house	absent	3.95876636504	0.253975583545	1
512.026919328	0	12	male	LowEff	house	present	5.62169728165	0.318118413789	1
516.826749737	0	12	male	LowEff	house	absent	3.50693636238	0.235452214222	1
523.243193634	0	12	male	LowEff	house	present	5.20268402238	0.212800834633	1
529.72653461	0	12	male	LowEff	house	absent	5.2853771358	0.22748183368	1
533.876297709	0	12	male	LowEff	house	present	2.94094108257	0.275444375134	1
536.176281185	0	12	male	LowEff	house	absent	1.03548759163	0.217844045687	1
538.459862778	0	12	male	LowEff	house	present	1.08999493245	0.211532426544	1
541.809298799	0	12	male	LowEff	house	absent	2.15134212886	0.253576263957	1
553.258892306	0	12	male	HighEff	face	absent	2.14395649876	0.200924359199	1
555.642087324	0	12	male	HighEff	face	present	1.19786684901	0.344763629703	0
559.644106658	0	12	male	HighEff	face	present	2.66077650768	0.360405941825	1
562.875181087	0	12	male	HighEff	face	absent	1.88331581415	0.189897118366	1
565.575091936	0	12	male	HighEff	face	present	1.51253419384	0.238154906539	1
569.091697483	0	12	male	HighEff	face	absent	2.28070263709	0.241114098447	1
575.60808912	0	12	male	HighEff	face	absent	5.2853771358	0.270757573623	0
579.54156126	0	12	male	HighEff	face	present	2.66077650768	0.187279925914	0
585.325423048	0	12	male	HighEff	face	absent	4.5986596622	0.227056896157	0
590.39098191	0	12	male	HighEff	face	absent	3.84322405242	0.34619855438	0
598.723968013	0	12	male	HighEff	face	present	6.99642903038	0.0926722453996	0
601.423983256	0	12	male	HighEff	face	present	1.62221420857	0.253826038839	1
607.923856447	0	12	male	HighEff	face	absent	5.2478151199	0.259372642349	1
610.790209593	0	12	male	HighEff	face	present	1.62221420857	0.237582986104	0
615.523400384	0	12	male	HighEff	face	present	3.50693636238	0.258215031837	0
619.440008877	0	12	male	HighEff	face	absent	2.66242028546	0.254839228234	1
624.89038277	0	12	male	HighEff	face	absent	4.19322378835	0.226078611201	1
627.706376497	0	12	male	HighEff	face	present	1.59610500292	0.299331820167	1
639.122580546	0	12	male	HighEff	house	absent	2.04512081584	0.248720384065	0
643.022489987	0	12	male	HighEff	house	absent	2.66242028546	0.284166001667	1
648.122584709	0	12	male	HighEff	house	absent	3.83406058685	0.269002104513	1
653.305442659	0	12	male	HighEff	house	absent	3.91872472459	0.317161583854	1
659.97190705	0	12	male	HighEff	house	present	5.36392521404	0.296291291311	0
666.171672838	0	12	male	HighEff	house	present	4.91650247885	0.265881199381	1
669.204946695	0	12	male	HighEff	house	present	1.78974263946	0.268568520935	1
671.888203965	0	12	male	HighEff	house	present	1.43882995013	0.29254434785	0
675.288497995	0	12	male	HighEff	house	present	2.1138178858	0.278732757528	1
679.354644148	0	12	male	HighEff	house	absent	2.8011948594	0.257285741185	1
681.838273966	0	12	male	HighEff	house	absent	1.23149327997	0.356391931375	1
685.804331481	0	12	male	HighEff	house	present	2.60937354115	0.232734791592	0
691.370835004	0	12	male	HighEff	house	present	4.35401328546	0.238354085996	1
696.571299841	0	12	male	HighEff	house	absent	3.95876636504	0.201343852912	1
700.503882398	0	12	male	HighEff	house	absent	2.75521807812	0.269017155051	0
703.837062878	0	12	male	HighEff	house	present	2.06680833712	0.249674011756	1
708.786881823	0	12	male	HighEff	house	present	3.71272805271	0.248949664598	1
711.054274481	0	12	male	HighEff	house	absent	1.02567097346	0.235276090908	0
732.019439531	0	12	male	HighEff	face	present	1.64986867731	0.365770017535	1
737.169257707	0	12	male	HighEff	face	present	3.80456580248	0.232696364687	0
739.585911672	0	12	male	HighEff	face	absent	1.2003453545	0.216402716526	1
