onset	duration	subject	task	trialHit	rt	acc
0.67793987579	0	2	face	noHit	None	1
2.64463485037	0	2	face	noHit	None	1
4.61058241925	0	2	face	noHit	None	1
6.57771802375	0	2	face	noHit	None	1
8.54383499178	0	2	face	noHit	None	1
10.5109629109	0	2	face	noHit	None	1
12.4770030248	0	2	face	noHit	None	1
14.4441107697	0	2	face	noHit	None	1
16.4101841871	0	2	face	Hit	1.49006373122	1
18.37728905	0	2	face	noHit	None	1
20.3434255518	0	2	face	noHit	None	1
22.3105047967	0	2	face	Hit	1.49006148965	1
24.2765836579	0	2	face	noHit	None	1
26.2436898017	0	2	face	noHit	None	1
28.2118568516	0	2	face	noHit	None	1
30.1769263629	0	2	face	noHit	None	1
32.1429703196	0	2	face	noHit	None	1
34.1101046432	0	2	face	noHit	None	1
36.0762196899	0	2	house	noHit	None	1
38.0436681544	0	2	house	noHit	None	1
40.0093989308	0	2	house	noHit	None	1
41.9754854775	0	2	house	Hit	1.49006180987	1
43.9425595987	0	2	house	noHit	None	1
45.9096987257	0	2	house	noHit	None	1
47.8758669298	0	2	house	noHit	None	1
49.8428475452	0	2	house	noHit	None	1
51.8089529852	0	2	house	Hit	1.49005988852	1
53.7760834661	0	2	house	noHit	None	1
55.7421869846	0	2	house	noHit	None	1
57.7093120217	0	2	house	noHit	None	1
59.67538672	0	2	house	noHit	None	1
61.6426247966	0	2	house	noHit	None	1
63.6085749273	0	2	house	noHit	None	1
65.5756727452	0	2	house	noHit	None	1
67.5417605727	0	2	house	noHit	None	1
69.5088667165	0	2	house	noHit	None	1
71.474994252	0	2	face	noHit	None	1
73.4421324183	0	2	face	noHit	None	1
75.408172212	0	2	face	noHit	None	1
77.3752783558	0	2	face	noHit	1.4900291469	0
79.3413658631	0	2	face	Hit	None	0
81.3085267654	0	2	face	noHit	None	1
83.2745473456	0	2	face	noHit	None	1
85.2416528489	0	2	face	noHit	None	1
87.2077675754	0	2	face	noHit	None	1
89.1748340112	0	2	face	noHit	None	1
91.1409564231	0	2	face	noHit	None	1
93.1080231792	0	2	face	Hit	1.49005092222	1
95.0742022709	0	2	face	noHit	None	1
97.04121651	0	2	face	noHit	None	1
99.0073843939	0	2	face	noHit	None	1
100.974425212	0	2	face	noHit	None	1
102.940544101	0	2	face	noHit	None	1
104.907617902	0	2	face	noHit	None	1
106.874763113	0	2	house	noHit	None	1
108.84083525	0	2	house	noHit	None	1
110.806945493	0	2	house	noHit	None	1
112.774024418	0	2	house	Hit	1.4900672537	1
114.740158998	0	2	house	noHit	None	1
116.707239204	0	2	house	noHit	None	1
118.673393318	0	2	house	Hit	1.49005508515	1
120.64045431	0	2	house	noHit	None	1
122.606557188	0	2	house	noHit	None	1
124.573619461	0	2	house	noHit	None	1
126.540850172	0	2	house	noHit	None	1
128.506841612	0	2	house	noHit	None	1
130.472920473	0	2	house	noHit	None	1
132.439998758	0	2	house	noHit	None	1
134.406104518	0	2	house	noHit	None	1
136.37336565	0	2	house	noHit	None	1
138.339340438	0	2	house	noHit	None	1
140.306416161	0	2	house	noHit	None	1
142.272516477	0	2	face	noHit	None	1
144.239647278	0	2	face	noHit	None	1
