onset	duration	subject	gender	effort	task	target	jitter	rt	acc
4.67997112858	0	16	male	LowEff	house	absent	1.40675949212	None	0
11.129551827	0	16	male	LowEff	house	present	4.47461121986	0.196943331841	1
14.1629790714	0	16	male	LowEff	house	absent	1.85283575447	0.690891734757	1
17.12938467	0	16	male	LowEff	house	absent	1.28927843159	0.469309071439	1
21.1311808076	0	16	male	LowEff	house	present	2.53836714866	0.390715803576	1
26.5124368678	0	16	male	LowEff	house	present	4.00659545831	0.466889457322	1
33.2454854791	0	16	male	LowEff	house	absent	5.28206851886	0.296775470313	1
38.1953137108	0	16	male	LowEff	house	present	3.67271412237	0.312598068664	1
42.6785759117	0	16	male	LowEff	house	present	3.18461310093	0.382363075329	1
46.4785750791	0	16	male	LowEff	house	absent	2.44242390384	0.382395417975	1
49.2615812287	0	16	male	LowEff	house	absent	1.42385970218	0.372429079944	1
52.1958139011	0	16	male	LowEff	house	absent	1.57097399443	None	0
57.3787064351	0	16	male	LowEff	house	present	3.19247335017	0.433617521641	1
60.578060735	0	16	male	LowEff	house	absent	1.78718786583	None	0
66.2776731356	0	16	male	LowEff	house	absent	3.7162593772	0.437308105644	1
72.1275296111	0	16	male	LowEff	house	present	4.42353553282	0.663378391015	1
77.2940144972	0	16	male	LowEff	house	present	3.5163198246	0.545479522942	1
81.6104655035	0	16	male	LowEff	house	present	2.78669214083	0.334933386963	1
94.243375842	0	16	male	HighEff	face	present	3.2231058985	0.470729586024	1
100.893142142	0	16	male	HighEff	face	present	5.19054913831	0.5116763353	0
106.059697798	0	16	male	HighEff	face	present	3.67255646674	0.671907242577	0
111.394440331	0	16	male	HighEff	face	absent	3.67255646674	0.636882719806	1
115.059818843	0	16	male	HighEff	face	present	2.02604100571	0.389910759917	1
118.009422597	0	16	male	HighEff	face	absent	1.57097399443	0.594589427736	1
121.892462306	0	16	male	HighEff	face	absent	2.30579239949	0.598942875844	1
128.926003871	0	16	male	HighEff	face	present	5.44308923987	0.472624032442	0
131.975413506	0	16	male	HighEff	face	absent	1.58096694365	0.514811650526	1
139.05854339	0	16	male	HighEff	face	present	5.57774277253	0.471989988509	0
142.84237828	0	16	male	HighEff	face	absent	2.30579239949	0.586326682493	1
147.242243529	0	16	male	HighEff	face	absent	2.8083473124	0.487524705299	1
149.874882318	0	16	male	HighEff	face	absent	1.14727858057	0.516606827437	1
152.958385583	0	16	male	HighEff	face	present	1.58096694365	0.513014872493	0
158.057934644	0	16	male	HighEff	face	present	3.6039276514	0.277745826519	1
164.491003301	0	16	male	HighEff	face	absent	5.1722475258	0.435403091829	1
172.6240856	0	16	male	HighEff	face	absent	6.6959295802	0.518982891059	1
177.49051592	0	16	male	HighEff	face	present	3.35983777738	0.597595052153	0
191.206747957	0	16	male	HighEff	house	absent	4.05205947497	0.407494591411	1
194.489911016	0	16	male	HighEff	house	present	1.89084083463	0.466662098133	0
200.623111478	0	16	male	HighEff	house	present	4.68941796405	0.421465653391	0
204.156343385	0	16	male	HighEff	house	absent	2.11514811362	0.47462895621	1
212.122845371	0	16	male	HighEff	house	absent	6.49771162179	0.468938251805	1
215.172550573	0	16	male	HighEff	house	absent	1.58267025652	0.574327561182	1
218.705771913	0	16	male	HighEff	house	present	1.9664114118	0.477596794171	0
223.222340634	0	16	male	HighEff	house	present	3.04369544308	0.472781262531	0
230.589162908	0	16	male	HighEff	house	present	5.89706692508	0.450132764956	0
235.205254111	0	16	male	HighEff	house	present	3.18461310093	0.512751007744	0
240.155027264	0	16	male	HighEff	house	present	3.44877194492	0.444371611226	1
243.02163819	0	16	male	HighEff	house	absent	1.44071480979	0.607081694317	1
246.921453485	0	16	male	HighEff	house	present	2.30123936223	0.418173108083	1
251.988444389	0	16	male	HighEff	house	absent	3.67271412237	0.452033295631	1
255.171342687	0	16	male	HighEff	house	absent	1.72714071979	0.608206321736	1
258.271244635	0	16	male	HighEff	house	absent	1.50490891149	0.591773376047	1
262.704542893	0	16	male	HighEff	house	present	2.84935043381	0.534667152555	1
269.603992171	0	16	male	HighEff	house	absent	5.38712609133	0.538729837081	1
280.336966811	0	16	male	LowEff	face	absent	1.14727858057	0.169817779617	1
282.753560893	0	16	male	LowEff	face	absent	1.25756657536	0.363701048926	1
285.970314896	0	16	male	LowEff	face	present	1.8713295731	0.315527479721	1
290.220124362	0	16	male	LowEff	face	absent	2.94844907078	0.30933626488	1
293.63651126	0	16	male	LowEff	face	absent	2.11514811362	0.288368303951	1
296.30308773	0	16	male	LowEff	face	absent	1.37967320495	0.443657191019	1
299.902988076	0	16	male	LowEff	face	absent	2.1711497281	0.42691010538	1
302.519528873	0	16	male	LowEff	face	present	1.19934594612	0.504953548276	1
305.536136021	0	16	male	LowEff	face	present	1.51185856377	0.106885396879	1
312.035919229	0	16	male	LowEff	face	absent	5.39311798811	0.318552958041	1
317.019025801	0	16	male	LowEff	face	present	3.67255646674	0.808126457821	1
322.871701851	0	16	male	LowEff	face	present	4.04475235627	0.508624278373	1
328.785336741	0	16	male	LowEff	face	present	4.42353553282	0.311221424792	1
334.201769111	0	16	male	LowEff	face	present	4.12083556313	0.319124878475	1
337.668331939	0	16	male	LowEff	face	present	2.157024704	0.343713934748	1
340.735582866	0	16	male	LowEff	face	absent	1.72586927887	0.377268948629	1
346.568187902	0	16	male	LowEff	face	absent	4.46570015614	0.321047824844	1
350.385325469	0	16	male	LowEff	face	present	2.50107917343	0.566698219427	1
372.967103687	0	16	male	LowEff	face	absent	2.94844907078	0.312687411217	1
377.634261364	0	16	male	LowEff	face	absent	3.35983777738	0.984995894723	1
385.000169399	0	16	male	LowEff	face	present	5.38712609133	0.661965882031	1
387.899912002	0	16	male	LowEff	face	present	1.25848849425	0.304968406679	1
