onset	duration	subject	task	trialHit	rt	acc
0.668062412778	0	6	face	noHit	None	1
2.65169260368	0	6	face	noHit	None	1
4.61771756443	0	6	face	noHit	None	1
6.583789598	0	6	face	noHit	None	1
8.55093598034	0	6	face	noHit	None	1
10.5169455704	0	6	face	noHit	None	1
12.4841169301	0	6	face	noHit	None	1
14.4501976097	0	6	face	noHit	None	1
16.4172472847	0	6	face	noHit	None	1
18.383286015	0	6	face	noHit	None	1
20.3504637792	0	6	face	noHit	None	1
22.3164788131	0	6	face	noHit	None	1
24.2836299988	0	6	face	noHit	None	1
26.2496837796	0	6	face	noHit	None	1
28.2168019823	0	6	face	Hit	1.49004073879	1
30.1828708136	0	6	face	Hit	1.49003977812	1
32.1499669209	0	6	face	noHit	None	1
34.1160386343	0	6	face	noHit	None	1
36.0830755003	0	6	house	noHit	None	1
38.0492743422	0	6	house	noHit	None	1
40.0162426805	0	6	house	noHit	None	1
41.9823867643	0	6	house	noHit	None	1
43.9494434841	0	6	house	noHit	None	1
45.9165914676	0	6	house	noHit	None	1
47.8826407653	0	6	house	noHit	None	1
49.8486996697	0	6	house	noHit	None	1
51.8157775243	0	6	house	noHit	None	1
53.7818617263	0	6	house	noHit	None	1
55.748989856	0	6	house	noHit	None	1
57.7150308279	0	6	house	noHit	None	1
59.6821451879	0	6	house	Hit	1.4900256883	1
61.6482486033	0	6	house	noHit	None	1
63.615325177	0	6	house	noHit	None	1
65.5814343565	0	6	house	noHit	None	1
67.5485048459	0	6	house	noHit	None	1
69.5145922502	0	6	house	Hit	1.49013808664	1
71.4816979642	0	6	face	Hit	None	0
73.4477520653	0	6	face	noHit	None	1
75.4148081447	0	6	face	noHit	None	1
77.3809352566	0	6	face	noHit	None	1
79.3479967798	0	6	face	noHit	None	1
81.3141408636	0	6	face	noHit	None	1
83.282197	0	6	face	noHit	None	1
85.2502627431	0	6	face	Hit	1.49002472763	1
87.2313506822	0	6	face	noHit	None	1
89.1974255977	0	6	face	noHit	None	1
91.1646433899	0	6	face	noHit	None	1
93.1315838687	0	6	face	noHit	None	1
95.0977247502	0	6	face	noHit	None	1
97.0638307275	0	6	face	noHit	None	1
99.0308864866	0	6	face	noHit	None	1
100.996970048	0	6	face	noHit	None	1
102.96405751	0	6	face	noHit	None	1
104.930126021	0	6	face	noHit	None	1
106.897184662	0	6	house	noHit	None	1
108.863326504	0	6	house	noHit	None	1
110.830459757	0	6	house	noHit	None	1
112.796483757	0	6	house	noHit	None	1
114.763576342	0	6	house	noHit	None	1
116.729676876	0	6	house	noHit	None	1
118.696722067	0	6	house	noHit	None	1
120.663808568	0	6	house	Hit	1.49004394103	1
122.629938882	0	6	house	Hit	1.49003145232	1
124.597070534	0	6	house	noHit	None	1
126.563080765	0	6	house	noHit	None	1
128.530104181	0	6	house	noHit	None	1
130.496243462	0	6	house	noHit	None	1
132.462332147	0	6	house	noHit	None	1
134.428433321	0	6	house	noHit	None	1
136.396610502	0	6	house	noHit	None	1
138.362584867	0	6	house	noHit	None	1
140.328679957	0	6	house	noHit	None	1
142.295767418	0	6	face	noHit	None	1
144.261834328	0	6	face	noHit	None	1
146.228907379	0	6	face	noHit	None	1
148.195042497	0	6	face	noHit	None	1
150.162121312	0	6	face	Hit	1.49005771062	1
152.129192122	0	6	face	noHit	None	1
154.095269279	0	6	face	noHit	None	1
156.061350599	0	6	face	noHit	None	1
158.028473925	0	6	face	Hit	1.49004233991	1
159.994532189	0	6	face	noHit	None	1
161.961645589	0	6	face	noHit	None	1
163.928746499	0	6	face	noHit	None	1
165.89481437	0	6	face	noHit	None	1
167.860884162	0	6	face	noHit	None	1
169.827998842	0	6	face	noHit	None	1
171.794047179	0	6	face	noHit	None	1
173.761122472	0	6	face	noHit	None	1
175.727317471	0	6	face	noHit	None	1
177.694340247	0	6	house	noHit	None	1
179.661387361	0	6	house	noHit	None	1
181.627684511	0	6	house	Hit	1.49003497478	1
183.594630113	0	6	house	noHit	None	1
185.560644187	0	6	house	noHit	None	1
187.526700529	0	6	house	noHit	None	1
189.493857799	0	6	house	noHit	None	1
191.459905176	0	6	house	noHit	None	1
193.427034586	0	6	house	noHit	None	1
195.393116867	0	6	house	noHit	None	1
197.362199959	0	6	house	Hit	1.49004938482	1
199.327284104	0	6	house	noHit	None	1
201.293508564	0	6	house	noHit	None	1
203.260423425	0	6	house	noHit	None	1
205.22651243	0	6	house	noHit	None	1
207.193686992	0	6	house	noHit	None	1
209.160720336	0	6	house	noHit	None	1
211.125753885	0	6	house	noHit	None	1
213.09290379	0	6	face	noHit	None	1
215.059935533	0	6	face	noHit	None	1
217.026220515	0	6	face	noHit	None	1
218.99312737	0	6	face	Hit	1.49003145232	1
220.959277858	0	6	face	noHit	None	1
222.926359556	0	6	face	noHit	None	1
224.892416859	0	6	face	noHit	None	1
226.859482865	0	6	face	noHit	None	1
228.825553618	0	6	face	noHit	None	1
230.792624748	0	6	face	noHit	None	1
232.758728163	0	6	face	noHit	None	1
234.725854692	0	6	face	noHit	None	1
236.691895343	0	6	face	noHit	None	1
238.659017069	0	6	face	noHit	None	1
240.625231601	0	6	face	noHit	None	1
242.592150305	0	6	face	Hit	1.49002600853	1
244.558286383	0	6	face	noHit	None	1
246.525342463	0	6	face	noHit	None	1
248.491513125	0	6	house	noHit	None	1
250.458527255	0	6	house	noHit	None	1
252.42464476	0	6	house	noHit	None	1
254.391648964	0	6	house	noHit	None	1
256.357781519	0	6	house	noHit	None	1
258.324892357	0	6	house	Hit	1.49004169946	1
260.290942295	0	6	house	noHit	None	1
262.258031358	0	6	house	noHit	None	1
264.226213662	0	6	house	noHit	None	1
266.191205583	0	6	house	noHit	None	1
268.160294759	0	6	house	noHit	None	1
270.140353181	0	6	house	noHit	None	1
272.107618045	0	6	house	noHit	None	1
274.074565569	0	6	house	noHit	None	1
276.040618069	0	6	house	Hit	1.49003753656	1
278.00771962	0	6	house	noHit	None	1
279.973832002	0	6	house	noHit	None	1
281.940890003	0	6	house	noHit	None	1
283.906960115	0	6	face	noHit	None	1
285.874034127	0	6	face	noHit	None	1
287.840182694	0	6	face	noHit	None	1
289.807200346	0	6	face	noHit	None	1
291.773338346	0	6	face	noHit	None	1
293.740394105	0	6	face	noHit	None	1
295.707616701	0	6	face	noHit	None	1
297.673612521	0	6	face	noHit	None	1
299.63964965	0	6	face	noHit	None	1
301.605724246	0	6	face	Hit	None	0
303.572810106	0	6	face	noHit	None	1
305.539929269	0	6	face	noHit	None	1
307.506026921	0	6	face	noHit	None	1
309.472084864	0	6	face	noHit	None	1
311.439159517	0	6	face	noHit	None	1
313.405286308	0	6	face	noHit	None	1
315.372393623	0	6	face	noHit	None	1
317.339424725	0	6	face	Hit	1.49004137924	1
319.305537748	0	6	house	noHit	None	1
321.272624248	0	6	house	noHit	None	1
323.238719338	0	6	house	Hit	1.49003081187	1
325.207776812	0	6	house	noHit	None	1
327.189081222	0	6	house	noHit	None	1
329.154957599	0	6	house	noHit	None	1
331.132013928	0	6	house	noHit	None	1
333.1051139	0	6	house	noHit	None	1
335.071202265	0	6	house	noHit	None	1
337.038349608	0	6	house	noHit	None	1
339.004455265	0	6	house	noHit	None	1
340.971507822	0	6	house	noHit	None	1
342.938620581	0	6	house	noHit	None	1
344.904651946	0	6	house	noHit	None	1
346.8717567	0	6	house	noHit	None	1
348.837806317	0	6	house	noHit	None	1
350.804849908	0	6	house	noHit	None	1
352.771003919	0	6	house	Hit	None	0
354.738147739	0	6	face	noHit	None	1
356.704171099	0	6	face	Hit	None	0
358.670232886	0	6	face	noHit	1.49001576138	0
360.639309253	0	6	face	noHit	None	1
362.603470835	0	6	face	Hit	1.49004137924	1
364.571507438	0	6	face	noHit	None	1
366.536584538	0	6	face	noHit	None	1
368.505716304	0	6	face	noHit	None	1
370.470738006	0	6	face	noHit	None	1
372.436828932	0	6	face	noHit	None	1
374.403981079	0	6	face	noHit	None	1
376.370045427	0	6	face	noHit	None	1
378.336113298	0	6	face	noHit	None	1
380.303129349	0	6	face	noHit	None	1
382.270270288	0	6	face	noHit	None	1
384.237408664	0	6	face	noHit	None	1
386.203445794	0	6	face	noHit	None	1
388.170608828	0	6	face	noHit	None	1
390.136646277	0	6	house	noHit	None	1
392.103739502	0	6	house	noHit	None	1
394.069871418	0	6	house	noHit	None	1
396.036901239	0	6	house	noHit	None	1
398.002957261	0	6	house	noHit	None	1
399.970090835	0	6	house	noHit	None	1
401.936189447	0	6	house	noHit	None	1
403.904235016	0	6	house	noHit	None	1
405.869326846	0	6	house	noHit	None	1
407.836396695	0	6	house	noHit	None	1
409.802519324	0	6	house	noHit	None	1
411.768513223	0	6	house	noHit	None	1
413.735640712	0	6	house	noHit	None	1
415.701778391	0	6	house	noHit	None	1
417.668827746	0	6	house	noHit	None	1
419.634910347	0	6	house	noHit	None	1
421.602038157	0	6	house	Hit	1.49003337366	1
423.569124337	0	6	house	Hit	1.49003721634	1
425.535181	0	6	face	Hit	None	0
427.501327325	0	6	face	noHit	None	1
429.46839141	0	6	face	noHit	None	1
431.434511157	0	6	face	noHit	None	1
433.401605023	0	6	face	noHit	None	1
435.367640231	0	6	face	noHit	None	1
437.334715844	0	6	face	noHit	None	1
439.302808485	0	6	face	Hit	1.49005642973	1
441.267894552	0	6	face	noHit	None	1
443.234941985	0	6	face	noHit	None	1
445.201083507	0	6	face	noHit	None	1
447.167162906	0	6	face	noHit	None	1
449.134273423	0	6	face	noHit	None	1
451.100339693	0	6	face	noHit	None	1
453.067401536	0	6	face	noHit	None	1
455.045461445	0	6	face	noHit	None	1
457.016605814	0	6	face	noHit	None	1
458.983637556	0	6	face	noHit	None	1
460.949733927	0	6	house	noHit	None	1
462.916814343	0	6	house	noHit	None	1
464.882938253	0	6	house	noHit	None	1
466.850001697	0	6	house	noHit	None	1
468.817103569	0	6	house	noHit	None	1
470.783171439	0	6	house	Hit	1.49009837897	1
472.750252816	0	6	house	noHit	None	1
474.71636776	0	6	house	noHit	None	1
476.683463867	0	6	house	noHit	None	1
478.649766781	0	6	house	noHit	None	1
480.616567643	0	6	house	noHit	None	1
482.582690272	0	6	house	Hit	1.49002760964	1
